Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,0.22138614666955955,0.2637432508768934,0.4736744364370481,0.3230180323427912,0.14211986996386985,0.5424072825255373,0.5826486074518155,0.626289131528556,0.5613221240522405,0.5281904065769101,0.19080252865029151,0.21232184506967966,0.19975726809318406,0.1028645685304836,0.534949596271324,0.3827878196465872,-0.005296027879690309,0.0282556823764907,-0.0071478193399375665,-0.00942395159875574,-0.007236283309860191,1.0795300991604234E-4,-0.005349059109071708,-0.0046317543203353686,-0.004661160058957376,-0.016709701482404977,-0.003050763465171741,-0.010732327222220332,-0.013480437004886785,-0.00476863590159262,0.05524974242874377,-1.8880367957393302E-4,0.007795108625932885,5.619485705780976E-4,-0.00941357586764664,0.04579815994644365,174.0 175.0 176.0 177.0 178.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,0.22212764892791914,0.2704904884685306,0.559943215094487,0.2891229127368129,0.05735660590918292,0.3202520235752833,0.4160499336601143,0.4158972449907588,0.3700381745622813,0.533890154062526,0.20815294305584617,0.11112515467896782,0.07795694783121443,0.047847433241264586,0.5952977681680682,0.38626693871928647,0.01383578364653122,0.011535505528644414,0.008895387465812768,0.006224389547759333,8.964896755825978E-4,0.009153875475841415,0.0072194615178846535,0.010106091231903851,0.008123361350544664,-0.0010268588236457443,0.008213953410395903,1.971521077662912E-4,0.0010083396175032098,0.011693423667810647,0.015030675061381627,0.00959190946989676,0.003009409234233369,0.005616011393891216,0.0054351887056156255,0.02726471270352503,219.0 220.0 221.0 222.0 223.0 224.0 
Serine_(2TMS)_BP_RI:1260_IDENT:C+D,-0.025501593964539,0.022961682112874946,-1.6197620642054343E-4,0.014826305147775406,0.019621563140279193,0.03449597022174779,0.018966923467262243,0.07006162768919297,0.0626076639975492,0.049534421718617445,0.06644253861363167,0.04434959854602342,0.04519787465600794,0.06313100259150659,0.05888830898254167,0.04281197005964263,0.01065266452755798,0.012307533733607637,0.009620260362084892,0.00698485098899285,0.008425366821707546,0.012330886480885738,0.00924849408426407,0.006423401508711675,0.008022961648838464,0.007139741074024211,0.008685032646087613,0.006259967819252174,0.005988183045418908,0.02643433847497997,0.02628601062402212,0.04829270440397187,0.03242023486111292,0.03770296587257666,0.01884644331456955,0.05112751491077256,116.0 117.0 118.0 119.0 120.0 
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D,0.945275418244369,0.9407802962870452,0.8966632513631114,0.9542772178695326,0.9043913272546897,0.8619097618293825,0.9045825746910737,0.8888107634405343,0.8833405636573121,0.8722583307541525,0.917426758192247,0.8768720285339288,0.7607575625800318,0.6928205700415643,0.7506616419753395,0.769820435336385,0.11768873304893718,0.2355187653757337,0.4203812256609961,0.5613644612143481,0.46694998495875706,NA,0.5139615258212868,0.29820663925043456,0.08937748533961781,0.7753039631279112,0.673090075190984,0.2682053021946328,0.6074433178353759,0.07207984745632218,0.23816929563849584,0.3045298207961384,0.5893634949082922,0.32818452066057313,0.2761616191234852,0.6837492675610498,218.0 219.0 220.0 221.0 222.0 
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C,-0.0032422940877233097,-0.008688109595357572,-0.004555253202930638,0.0023995765066400997,-0.0027735020157457764,-0.0016652364649242088,-0.0024301358968487024,0.005184983876585656,-0.0037139160682121324,2.313689875579844E-4,0.003830887893997272,0.00520784504182721,1.5445762577537728E-4,0.005216841399918709,5.661084692500613E-4,-0.0033878208075648775,-0.005762272987845796,0.026183181080435672,0.0053831950693053856,0.009666270655578357,0.0014535523939567458,0.21367652316020633,-0.018303053078372142,0.26859327791338783,0.00423306627822287,-0.014791309584472136,-0.04634165227432642,0.1931564146442841,-0.0337549307657581,-0.0023698442048706945,7.115014204617644E-4,-0.029907789570230606,-0.004795326298885973,0.004205124934252813,-0.0012416565287273872,6.398632456500206E-4,276.0 277.0 278.0 
Succinic acid 249_(2TMS)_MP_RI:1327_IDENT:A+D,0.2649730167519277,0.19615098514181084,0.18362081242512837,NA,0.33311987974445695,0.19321975976835795,0.34791707639319625,0.2890561753840714,0.08857200241012252,0.6152966146896646,0.6461087193073757,0.25591586104756353,0.3441033465439305,0.3040452519712033,0.3173621356790914,0.42979250447254547,0.18467746686303388,0.07781738902612471,0.14032143347350295,0.10116049923363259,0.0655050038544611,0.05258908197296823,0.1651312849896181,0.04989701990948417,0.18186484657039712,0.11832739163282652,0.14033311953820252,0.12743324656735147,0.034598646852410146,0.49625960450875617,0.3581739561434993,0.32635439793092397,0.3289198345023141,0.2773732380252522,0.480583123398262,0.45350960291712755,247.0 248.0 249.0 250.0 251.0 252.0 
Fumaric acid 247_(2TMS)_MP_RI:1366_IDENT:A+C,-0.006599982458518383,0.007122864339212815,0.008204808302936935,-0.006633121252905909,0.006713862431916979,8.200252397959366E-4,0.0036870010115350347,0.016199289586838663,0.009259738650073818,0.004965220088638846,0.003046829594754052,0.005537869633667005,0.011237589593103918,0.01026559856123475,0.002732841964200249,0.006247982575128665,-0.007748705618514905,-0.008294400346805621,-0.004066378173170105,-9.12799492465317E-5,-0.00146097248457789,-0.0033070317353162504,-0.004118361133769662,0.0040020080342199026,-6.750400529115818E-4,0.002589378662992412,0.0021642565986268038,0.0028641580386245752,0.0012054194579504238,-0.003428890605521703,0.005002351641410131,-7.229916644163431E-4,-0.002387989507441689,-0.0027556287041101126,0.009341776527990136,0.010640985092432016,245.0 246.0 247.0 248.0 249.0 250.0 
Serine_(3TMS)_MP_RI:1373_IDENT:C+D,0.0045893993431424555,0.007145206170850304,0.0030237910526416858,0.004515244410535316,0.004370649926768654,0.008607518393566431,0.008800901741838058,0.00693617061242854,0.008575168501685694,0.005933808173797568,-6.377692901594259E-4,0.0028235097355142607,0.009864905869373193,0.0027881403934905164,0.005498097604628652,0.004913512790938828,0.008023189951021224,NA,NA,NA,NA,NA,NA,NA,NA,-0.0012556022081203963,0.007095766618456304,0.07122119280829621,0.00556137887732945,0.0022944803356161,-0.001813107796079435,0.0025744876320566777,0.003704832812934979,-0.0025116416184888606,-0.0019266455853437024,0.006699147431890453,204.0 205.0 206.0 207.0 208.0 
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,NA,NA,0.04505398475851688,NA,-0.011025731223063344,0.040139355210398374,0.04360829391587509,0.041664911868746164,0.04734094416134471,NA,0.02987617121767776,-0.0027738713056565203,-7.730767211442544E-4,5.147602356570379E-4,0.04799666147360132,0.04884849245527332,-0.04141338674408455,-0.04917518250445999,NA,NA,NA,NA,NA,NA,NA,-0.02941209766758965,0.027343603661353903,-0.03257397592053073,-0.007676499892273082,0.02069205934770665,0.01179417683103952,NA,-0.0140782361800671,0.010866138633743385,0.008357795311141841,-0.0029529467949789764,188.0 189.0 190.0 191.0 
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,0.6973813853853658,0.8096243111687299,0.9167235231266333,0.6629482617027102,0.09458093680515996,0.6029409910080334,0.473937528157381,0.6991351506429685,0.35277550730303137,0.47445854376211294,0.6118854448373899,0.5901030611462036,0.6728364926375889,0.670342403732523,0.423282902664346,0.8372305721379893,0.5367419806883842,NA,0.2062890653280884,0.5220194514260736,0.020354748534250303,-0.00891555563296265,0.11964703458139901,0.221465398300777,0.18247501324043167,0.031462317334800455,-0.040703143532568244,0.04483367877408175,-0.05137938177106165,-0.03168132897302443,-0.039206161585086115,-0.03145543728247817,-0.020690918557227843,-0.0015120033556719635,-0.007567129805380508,0.017766279801040535,245.0 246.0 247.0 248.0 249.0 250.0 251.0 
