File,Metabolite,Mass(m/z),SamplePeakArea,SampleMID,ReferencePeakArea,ReferenceMID,BackupPeakArea,BackupMID,UsedMID
e19243a_to_025_11_MG_C13_17min_R3.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,28137,0.7012336448598131,438127,0.8328555623567162,294838,0.8339,quant
e19243a_to_025_11_MG_C13_17min_R3.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,3053,0.07608722741433022,54305,0.1032308470233094,45490,0.12869999999999998,quant
e19243a_to_025_11_MG_C13_17min_R3.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,1362,0.03394392523364486,23215,0.044130450486071775,12524,0.0354,quant
e19243a_to_025_11_MG_C13_17min_R3.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,6773,0.168797507788162,6370,0.012109023028054154,696,0.002,quant
e19243a_to_025_11_MG_C13_17min_R3.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,800,0.019937694704049845,4037,0.007674117105848449,0,0.0,quant
e19243a_to_026_09_MG_C13_17min_R1.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,174.0,23330,0.6660956459671663,438127,0.8328555623567162,294838,0.8339,quant
e19243a_to_026_09_MG_C13_17min_R1.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,175.0,2537,0.07243397573162028,54305,0.1032308470233094,45490,0.12869999999999998,quant
e19243a_to_026_09_MG_C13_17min_R1.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,176.0,810,0.023126338329764455,23215,0.044130450486071775,12524,0.0354,quant
e19243a_to_026_09_MG_C13_17min_R1.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,177.0,7878,0.2249250535331906,6370,0.012109023028054154,696,0.002,quant
e19243a_to_026_09_MG_C13_17min_R1.cdf,Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,178.0,470,0.013418986438258387,4037,0.007674117105848449,0,0.0,quant
