Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,5133.5790874916775,5182.718090403741,5043.472969347516,5311.348484271551,6859.967491990257,6055.9635501387875,5889.144487671505,5855.3502538811545,5819.559704051256,4787.890627392823,5170.841104399344,8321.290474174413,8821.253516786132,8848.098925298853,5152.404394637679,5366.923766031146,7117.589988288892,6503.022513834173,5400.037643862362,5462.951555721481,6003.6823302608,6065.61245357504,6002.0505080047005,5620.408907383949,6565.61918130509,7834.57838740281,5288.717275439725,7151.401104306275,9047.235747434228,5885.885393780574,6998.218190031771,5209.51702211056,6831.1648060255775,6233.738682316032,6179.07375327205,7387.3995078055195,174.0 175.0 176.0 177.0 178.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,22145.520787225447,25909.086043486972,18320.69963696481,27103.83047410242,114596.43352452909,54181.70979670166,44693.01173160006,47733.49683222363,44459.585635229894,19045.733723039495,24149.13386550852,191111.29064341768,191137.13932591004,210280.7627322983,21482.18216545894,25136.572478038503,66977.57414647928,54344.283850372434,27361.981980351928,36719.50830735534,33269.47262826926,38003.19375085362,48848.50270146853,48356.34810531701,53784.57384248763,142952.3983476999,25540.078237922982,77620.04118494192,194506.82559535524,58829.60039856176,78468.70260600932,27753.212514304705,95395.03570058115,62443.565496414834,75620.06717209428,142708.35477206667,219.0 220.0 221.0 222.0 223.0 224.0 
Serine_(2TMS)_BP_RI:1260_IDENT:C+D,21514.35703400909,10944.53780956437,21806.887500290144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54767.19132040768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116.0 117.0 118.0 119.0 120.0 
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D,9885.197919165934,10852.111120206404,15079.561974042459,11381.243190293115,13595.96201462885,15343.500198887468,15392.57848079655,15173.944297915587,15304.33386063703,12263.006047684159,11646.223307006025,15882.850875360444,17668.30598126719,17663.526107402653,15702.346486649049,6194.779776543868,23062.84959443904,1184.6137541488554,632.9521755922723,3426.59982253233,409.6519197332533,NA,9950.493969467503,6072.44204123306,21310.61169050408,6788.429167606428,2936.857685001314,9889.609742500881,4031.519794128932,25012.952933994926,12142.299603643396,7164.993481335956,3671.8128576512963,8038.0950142893125,8481.83503126106,8012.884992128621,218.0 219.0 220.0 221.0 222.0 
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C,101569.77988550125,121163.8207882698,104633.38648370463,53187.651056242066,160733.84176215425,173180.43349644012,161615.94316581244,122911.0219480087,86311.26647810651,75515.92004482045,51165.90731251914,71882.02265877006,92014.54576261938,109923.03999603794,104786.58054900546,NaN,140809.46610800773,7640.177878296681,3540.1759919553583,3820.465893982178,3259.741312147953,546.3586560907287,3240.271342350425,843.3296418590708,10693.065639673054,17175.70270099212,14005.176649121595,4127.02068427207,4139.216648475992,52457.633282395735,109441.92976496666,19402.861156261406,69143.24061010094,85153.37306447684,88870.67357663639,79639.08874355066,276.0 277.0 278.0 
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D,1050.0409835302805,1434.4941886955392,1111.280190085699,NA,3850.840431051877,1967.6346080098263,1949.5783360811076,2307.2682712677097,1734.0293634811715,4029.9828273954627,3245.906673643588,3751.4061760857217,3317.877911254552,4035.1768200116894,2073.7162160941853,2734.2308977911503,1420.602115092485,2067.8441946815683,1034.615937062445,1155.6145370409122,1412.4509873390775,2047.3487954433501,1149.714211005388,1099.0469761324716,1394.4269035884456,2046.0753882687652,1438.6890345666855,1261.6975247134583,2200.972649114698,3240.3614273067146,3479.55332908545,2042.259038307762,3159.6187149005186,523.754019000169,3638.495764944081,4224.848805036467,247.0 248.0 249.0 250.0 251.0 252.0 
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C,2174.2365053129,2355.6861175213216,1920.2457525872821,2121.4384246737673,2491.676871764898,2497.0619946518827,2727.623267948472,2407.3422835960437,2835.5076733547526,2112.0919995227086,1912.7265815201047,3641.565194615625,3175.9305694014665,3120.169704407661,2755.8056467827764,2366.5388935970964,2176.982762214459,2144.2804081804275,2180.9138890987856,2375.0859855449676,2462.606480331514,3186.558107135511,3296.712150502118,2128.1313292381296,2691.0609086042437,3569.1085991119603,3429.8503922739433,3306.7269178016254,4044.500115453441,2694.3020306161156,4183.99445348265,2291.550228622386,2498.5967050064774,2494.362195924688,2484.8140753598473,2153.0227279949913,245.0 246.0 247.0 248.0 249.0 250.0 
Serine_(3TMS)_MP_RI:1373_IDENT:C+D,23687.448056515284,29327.72964700598,51130.166162532616,18424.982687039796,20012.367562320494,50331.05455520526,53309.60139535215,55220.705269586164,70099.7635500687,46064.501403197464,31822.09971061402,31888.75262061136,36640.19518339641,42596.94287331586,69645.27383800458,70977.33917056952,3228.031924598911,NA,NA,NA,NA,NA,NA,NA,NA,5719.228759364026,16434.02119103983,5063.887859920429,14180.344364846964,26499.065189795587,56546.426901179235,27956.43429662716,28690.959849164406,55617.54978591702,55151.56611663571,38811.27956202453,204.0 205.0 206.0 207.0 208.0 
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,3876.328362960021,3311.4843415615724,3078.8741875863434,2505.6623906472787,1504.2563993340902,3512.971571059979,1966.5347023658326,2629.5152736515392,1831.9755722045868,1999.6803437826638,2195.0884853467437,2369.5747705803137,2633.4290088480943,2897.8954887667815,1748.0165690813344,3427.4826875999115,3520.126097402881,NA,1510.0391231429264,1492.3972668827023,2248.783041492724,2531.7524684016876,1767.889591021795,1598.4771342330919,1982.7999877373397,3744.4548192667758,2310.3072920893146,2106.465291151052,2150.171526966989,1605.2382181479397,1713.2028761084428,1547.0220315716756,1570.0084347864597,1579.9422931724725,1500.924931630703,1504.5941151040663,245.0 246.0 247.0 248.0 249.0 250.0 251.0 
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,1905.9990622193807,1659.7397830530163,2824.9550996504404,844.7288682272639,1210.1785937896036,1920.1204740167352,1814.1695648323546,1279.2556436969392,2575.8545573263327,1326.8409805459294,823.1912538632007,995.1013430050854,900.8086902868125,1246.8143325501774,1779.4924107501747,1589.4255095978106,1847.8251487785744,854.9293220275164,297.3483380035088,235.51459619635125,456.6862716144598,632.0722623283583,319.2729631290355,142.63676237948283,823.3598801116536,2529.8688047438663,2412.636908046865,2046.6320386019386,3013.894374052938,1136.062813831609,1471.0289381647005,3200.8424269342568,1267.380378443858,1320.410620819349,1632.0117122863971,1116.9675025990316,188.0 189.0 190.0 191.0 
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D,9041.007180211196,9366.890106919143,7010.743174429461,7781.4538524768095,9228.772484016496,9993.508051739309,9926.20718915132,8728.736399322206,11358.726154277001,8553.938654344845,8251.093440481212,14187.707658884387,12576.913578388503,12898.888414631389,11228.69250862867,7974.537190030481,9961.973119926108,12396.208231165796,10668.971582242513,11820.056986293012,10940.310089695497,13067.399487978537,14935.35434640747,10352.23486148094,13050.33352244397,17542.178323067543,17425.785501591294,16429.717395169468,20208.414375987453,10333.07527801392,17868.37756273522,9566.87220131375,9673.378578679145,9021.685471529343,9941.949962886381,8405.054346682064,245.0 246.0 247.0 248.0 249.0 250.0 251.0 
Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C,7937.214980314321,7939.869630406016,6222.982449782926,9398.418724696334,14005.363361574624,11183.970433679817,11102.944024069959,10590.010792490084,9540.229637175682,11769.375079809639,12259.13504626307,13510.338430725016,14346.663396956712,15013.281745078444,12628.060411045104,12085.481559303778,2554.4151707705546,NA,NA,NA,NA,NA,NA,NA,NA,8859.586922217575,8413.304812421387,5411.18989596966,11855.005577035861,7374.870796136716,13573.065324658026,11691.872294578967,13355.711735837687,12489.282225131452,13921.725303239737,14360.967002768992,218.0 219.0 220.0 221.0 222.0 
Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B,147217.38224783234,135178.38867967587,166294.06400869522,209772.92949412638,172827.82338503096,189041.75795460824,227904.15897723305,124364.0009861032,102488.24404404078,102899.42697172477,101155.47610647956,97703.36049893209,105075.20429052666,168010.593540789,90659.78489741469,95823.27397413847,188709.1839015661,NA,NA,NA,NA,NA,NA,NA,125163.35082359298,323257.8837566796,220451.1029401338,219107.3334578406,202852.99085270465,115334.20949227027,159674.90416457207,257760.23329693978,207348.4374723453,138656.38201250994,97779.5404810707,198926.52434270483,276.0 277.0 278.0 279.0 280.0 281.0 282.0 283.0 
Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D,863.6555726396635,800.2298473589625,729.2104450171654,672.9407959204932,749.7172982262579,777.4191690297502,783.9950259897623,639.7701504672073,733.61270145495,806.9157165497903,723.2705617654036,739.8535735949177,774.0442619455414,777.8926307357581,875.5804589997176,766.6010796100753,770.095817098712,848.4058808624619,795.6942975463922,859.3207164663427,847.5315995026233,900.1873188303475,1029.3867649532513,864.4085891944853,826.9152145702163,948.1888555893048,920.2255383146895,838.7114482758655,954.0005014426479,797.5845421482775,1021.9182925775624,802.7424190215689,762.9604053637428,807.9016923381732,772.0897175142244,798.3347342248462,247.0 248.0 249.0 250.0 251.0 252.0 
Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C,1796.2173482335131,1380.9218451060356,1326.3483417419154,1176.3456447266835,1330.2963252837067,1410.629439718595,1607.403930270959,1382.7045996740073,1481.3842197090069,1515.739735787131,1225.2196189044214,1601.546077479307,1655.4451716492972,1744.0927057769777,1563.7123818711023,1432.3830227278079,1427.7827892093592,2129.5195795271675,2063.626479416633,1623.1931995959737,2003.1598888965273,3058.2431531357524,2184.429975196458,1808.581752132395,1677.359006070138,2332.758435954408,1836.4042471688024,2222.3963012654167,2338.847166217707,1511.4297839314047,2897.1254933798464,1977.4167298847435,1477.6251961783464,2090.7015332285932,1829.4161383684545,1886.4292354787642,198.0 199.0 200.0 201.0 202.0 203.0 204.0 205.0 
Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D,11572.581699253886,2925.9098076038354,1009.9613774692526,325.8107011635164,NA,695.0856704795356,619.646971556218,562.7295867649937,638.7354688167391,398.95720435787695,321.53789709138687,330.76646428749285,222.4580230318573,397.0684079056392,440.0777170489243,258.13341517744755,485.0852619616056,414.6951864005281,382.0038457044168,502.96308332102603,483.90247376891455,538.7205068961331,523.6456863278943,253.70960264888782,431.6585079706349,502.9065440835133,461.2955229428319,359.48075551791555,411.5849159341493,306.4249765953271,658.3308720658201,345.85749039585096,166.34036441146304,404.72474019618437,331.5056119221048,408.3663233086936,369.0 370.0 371.0 372.0 373.0 374.0 
