Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,5144.551910536072,5304.21184996307,5627.967484077108,5385.074563894294,6601.417845702385,5809.955980021984,7489.152806450261,6819.314785476876,7188.614274861444,4729.257375672017,6843.550996101336,17601.950613541187,8961.127943864618,9250.706362516716,5139.220251216448,7684.376387922169,6182.787643926724,5885.296633820855,5030.682556199368,5070.644938055359,8889.239641905555,5538.586668461634,5425.307046008003,5275.765665681041,5820.190913071112,11826.975438951593,4928.087864732336,7057.893564685144,7553.772389498796,5473.668652940314,6221.9437444850155,4882.001888950843,6503.327077792357,6618.878862094128,7271.7150570098365,7106.607727572099,174.0 175.0 176.0 177.0 178.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,22350.814272631542,28485.351980920033,28037.006719235247,28580.16614622911,103942.17839354542,47724.40249393322,82564.20648545335,72544.91950547852,77897.89356660284,17695.036848475047,57658.01601202399,757793.7482799168,197056.79500103495,229198.79404092484,21247.435105262048,66595.00363669386,46954.74076878605,41040.85472726828,20385.9123992279,27059.175405873873,80457.62161741637,28515.215165189216,34924.167044813046,38146.360191781874,38304.319218608995,307975.12365906726,18654.449282480167,75296.76232103363,134475.40498343486,45984.2432068512,58060.11788112145,20468.930443689515,84151.28469659438,73282.54271143787,114520.23087041153,130401.85187441521,219.0 220.0 221.0 222.0 223.0 224.0 
Serine_(2TMS)_BP_RI:1260_IDENT:C+D,21800.173447992347,12465.771863906408,42924.374337647234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,116.0 117.0 118.0 119.0 120.0 
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D,9966.954091923142,11769.449252890672,21075.057386297256,11905.608787129479,12609.241777122781,13890.95923510933,24142.85515030875,20745.050425779198,23151.357330678635,11501.526622157244,22911.13161449048,35101.27963211356,18045.528988614184,18730.923732544557,15562.90777188913,14459.892675662797,17803.59377111548,717.7446271072603,264.86927462397176,2387.0000208898155,1992.108983638724,NA,7384.233329646246,4805.518928173738,16534.124918940714,12447.619858117287,1965.4550191327166,9640.750867745202,2749.578739165115,20980.974940564192,9466.304108788338,5301.640245171319,3211.501144717691,9235.12346606895,11942.898639963252,7418.092513504845,218.0 219.0 220.0 221.0 222.0 
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C,103040.07423567456,145683.1869248108,NaN,56760.330817501665,131349.71557508726,129508.64275755962,NaN,NaN,NaN,68366.99470172751,NaN,NaN,95750.50283164009,125063.5848023901,102985.9298143346,NaN,81275.83263730493,5712.0072467198315,2578.3254492353603,2766.6026409412407,8100.814116509901,393.44886383835325,2282.7357383049807,651.7152656370251,7507.378594338135,36596.77193895456,9931.019608445164,4002.180719716622,2897.9935292848236,39533.46526204058,72479.84123146953,13883.708323692355,59501.1169418288,106720.7395954977,NaN,71309.71554677063,276.0 277.0 278.0 
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D,1059.0629992352685,1569.460450063568,1666.0142723102956,NA,3520.423578826643,1748.2636059060947,3467.19562195254,3423.016615603823,2927.8961136452167,3739.5474268756634,7558.1409394630955,10877.803983191532,3408.045562384367,4349.406433351374,2051.3954679740264,7007.390602127414,1033.8546849413929,1591.146268908825,793.0575547622453,877.7583694107763,3228.721293516993,1558.5258381989602,854.0477107909961,891.1006898792202,1026.475239801855,3974.7137642713856,1068.8839463494983,1228.2290940322657,1594.886042411547,2564.9495609425353,2622.7595902043545,1520.9626210696276,2813.465159859483,592.5713979008924,5349.801162907865,3892.861296922663,247.0 248.0 249.0 250.0 251.0 252.0 
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C,2193.9436501004166,2583.416561565562,2916.643441334901,2232.6116318002105,2281.2408573670627,2216.6989936399905,4898.696589832217,3575.5765386686207,4847.52320202796,1964.1564364443968,4430.107200693113,10867.997154875351,3262.5377223534956,3363.29916846252,2725.7974324257166,6110.530059761798,1572.7739583719206,1654.0577329226294,1643.277344002821,1776.456803165293,5758.998373586294,2411.8536079198993,2389.6743469782436,1706.9535146853977,1954.8964170431873,7056.427960817296,2506.0549275947988,3213.6882581429713,2902.714423860292,2138.0334878467643,3143.2757519739544,1708.2178878559328,2228.1650724055494,2896.738557629684,3648.2662246926825,1988.4466025908287,245.0 246.0 247.0 248.0 249.0 250.0 
Serine_(3TMS)_MP_RI:1373_IDENT:C+D,23895.176279570813,32159.15284029257,81274.56228420231,19317.304475633173,18446.974892701026,44347.42111651546,101744.68584456858,85444.58632990674,130130.71246544331,42633.69363790104,77299.12261780379,99859.42798645707,37649.107805060434,46030.75903311386,68805.35217361918,232890.25190142202,3158.408558537853,NA,NA,NA,NA,NA,NA,NA,NA,8528.6852511543,12591.32139909613,5002.537190976332,10859.493545803023,21222.64204054595,41989.108666525564,20972.1988843936,25635.288840814843,65447.24964895854,84159.53563102787,35730.6020322709,204.0 205.0 206.0 207.0 208.0 
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,3901.9815535853095,3521.2987759472912,4096.6618034861,2572.177684844706,1490.613009701436,3246.41534820983,2494.1738483136814,3312.698466007781,2196.6645455321595,1950.2540237182232,3442.5747699785784,4586.7475694736595,2670.9266019172605,3027.9951873302402,1743.4264060252654,7282.642324067372,2856.230655164491,NA,1468.2975481110118,1454.7802510694348,3574.4714754841148,2226.1143315289437,1647.4671544848698,1545.8714509099686,1798.4733945164637,6387.918645246649,2037.1181618987125,2083.947106308744,1913.9185563829342,1549.7869453059377,1619.7351220016951,1493.9195357202511,1544.8836947030907,1619.1596867407197,1575.0217284347964,1492.0830677885651,245.0 246.0 247.0 248.0 249.0 250.0 251.0 
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,1927.9280256299237,1863.8905536998238,4918.7790914390625,904.1162998506492,1080.4183056287407,1652.3155688728068,3766.8142460310273,2095.458417653772,5148.152497559312,1208.040208336242,2380.40165587729,3796.941103698771,932.6120586470223,1369.4063037177875,1755.3373330267507,5296.5951840526495,1213.3297325546089,596.3869142091863,173.3639760720906,126.66298396665702,1395.981748754409,424.1532162249943,178.05392626602327,76.64716616682536,529.1404276167012,6135.824036873425,1632.4414692416685,1975.6839793840334,1995.9283901895171,840.1978127207054,1029.153373195334,2188.7101103968544,1094.0908020872937,1593.4506976324062,2632.1275447747444,1006.6223559187528,188.0 189.0 190.0 191.0 
