Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,855196.3254778439,975816.6513070756,1220111.9234634188,1036870.1865942177,1952252.9110454011,1357260.036085763,2616796.2767015332,2115643.394855745,2392152.563032232,540996.1030983339,2133805.8508871603,9976302.16476894,3712111.292947468,3926623.763734136,851166.6823643941,2762536.797725453,1637837.319255517,1414000.677107879,769110.9862234879,799328.1801930275,3658809.000894328,1152707.8106662792,1067237.5680894237,954333.1220718641,1364969.4432459797,5821071.685585463,691507.2280552206,2294335.871279124,2665052.8096902627,1103732.6762252382,1667273.9754682633,656634.3050271696,1878640.617037991,1965352.7219666808,2454302.1871445407,2330795.645844727,174.0 175.0 176.0 177.0 178.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,2580810.5890742387,3326887.955647951,3272478.038092272,3338391.9628019407,1.2220224643974325E7,5644233.651173719,9753884.107887844,8583482.040670114,9209940.06639482,2012264.1884118607,6827386.712036997,6.731235830145922E7,2.247151010402415E7,2.5824632012278154E7,2446250.5799738374,7884065.447613517,5552182.762657724,4843065.911161708,2341107.612074156,3153746.932544519,9508571.589944843,3330511.409565433,4106241.254006609,4494820.810245239,4513845.238549582,3.36401651400129E7,2129587.4967779657,8905859.726116512,1.5669763586755784E7,5436034.268142226,6875087.977291339,2351242.3757016747,9938429.809283549,8669962.865108388,1.3425022231094904E7,1.521451363370806E7,219.0 220.0 221.0 222.0 223.0 224.0 
Serine_(2TMS)_BP_RI:1260_IDENT:C+D,4209084.891670658,2758362.958987945,6595831.216615996,9796975.859717561,1.6604616881880866E7,1.0804171920040583E7,3.1276724967677034E7,1.3213702437059578E7,1.393992582204579E7,1.2188685748945817E7,1.8020269662826538E7,2.9292076856542286E7,9843838.052701477,1.042704764537369E7,1.0992416534080582E7,3.1058135198510993E7,2.571976409403969E7,1.692275948937178E7,1.2074714855849264E7,2.076074614315656E7,9.030608574029034E7,6.4073355811486974E7,3.0294966045479566E7,2.1702218388641592E7,1.8143829271552764E7,9.511757807608192E7,4.514990314584515E7,5.882186701349621E7,2.271689261489993E7,1.6561610077949453E7,1.888371316241494E7,1.2099557827391198E7,1.3948106587641994E7,2.142640402672407E7,1.87609321225485E7,1.0536405357016208E7,116.0 117.0 118.0 119.0 120.0 
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D,9420280.824428588,1.1511447339391522E7,2.4652973182716165E7,1.1675402870729415E7,1.2536086327147927E7,1.4161625666711591E7,2.9846732155565873E7,2.4119718319515917E7,2.812141891651108E7,1.1191286910816593E7,2.771011460197066E7,5.1887139555355184E7,1.9943170507093232E7,2.097224910252382E7,1.6394137432473592E7,1.4907068332373412E7,1.9585010495326716E7,1009363.7529564234,697239.0462239607,2240209.210261384,1937612.1805768122,NA,6680939.238390281,4247874.041494745,1.7749232079481903E7,1.2336402655497072E7,1917442.7491156133,9057592.872772252,2524278.138992106,2.450044264451691E7,8865616.676853918,4692528.001351892,2894822.058250032,8613333.541149706,1.172045195029466E7,6714893.333294805,218.0 219.0 220.0 221.0 222.0 
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C,5579488.475144254,6828115.967964661,8831890.22504731,3522879.122263031,6477587.870601679,6427488.000503367,1.3178290714080341E7,9485327.398551991,8626075.207011275,4107263.2710318784,7863540.695940658,1.3175897090517525E7,5303998.1450468525,6301764.616294716,5577509.007045211,2.1549135934054196E7,4703265.7410730785,407441.7223122976,187253.44675534556,200577.28003845186,573042.5977586167,31752.196065801945,166311.03609984307,50218.256748635264,532085.0796879269,2398466.969973941,698602.938636583,287715.6860413231,209868.2743026237,2570853.973746637,4303320.501116943,965878.8206641801,3665017.1024485,5711706.828299504,7546397.751987237,4248128.178976308,276.0 277.0 278.0 
Succinic acid 249_(2TMS)_MP_RI:1327_IDENT:A+D,231213.20604719475,358430.1226481889,382577.98533115076,NA,851408.1843756412,403168.84868772415,837817.3873749701,826543.0798455648,700562.7967568432,907440.7556146618,1905410.2235759066,2806045.2306658183,822723.7617175926,1064094.2439833535,479219.9358874889,1758963.701648015,224948.85215970204,363851.42518403934,165199.2856242897,186197.8559985662,777024.3225722336,355697.04402302025,180317.6196164639,189507.43724498685,223115.36983004914,967724.622481714,233654.22553807063,273297.44176678534,364786.4749681933,608647.8097850258,623263.3952230542,346310.7541964262,671543.8719082946,115575.60054578484,1323311.3090781188,946724.5919049353,247.0 248.0 249.0 250.0 251.0 252.0 
Fumaric acid 247_(2TMS)_MP_RI:1366_IDENT:A+C,2385704.5346254106,2842982.6197787607,3234297.79073864,2431100.168533653,2488191.480771824,2412418.8554681195,5563297.529841446,4008300.758334611,5503135.668745288,2115957.048895947,5012462.747197275,1.2592320478958678E7,3640561.9557585292,3758923.6389911496,3010174.9104446117,6988464.694827739,1656588.658739737,1751984.124836421,1739331.9130404522,1895640.7114125702,6574954.133004835,2641539.7810022356,2615499.0605521733,1814065.371210669,2105087.392730166,8101518.222267455,2752145.1894145105,3583182.125330342,3217939.2695626593,2320068.490252082,3500476.4182692072,1815549.3268603666,2425879.9265598413,3210921.127994744,4093700.9050463606,2144469.7442725645,245.0 246.0 247.0 248.0 249.0 250.0 
Serine_(3TMS)_MP_RI:1373_IDENT:C+D,2.5670546902950138E7,3.5472973306223646E7,8.966057838948476E7,2.0155515149621192E7,1.910016578776921E7,4.957013526765088E7,1.1018689413419567E8,9.394024412743136E7,1.3664737306727412E8,4.7613940396258205E7,8.553383323638272E7,1.083470772377602E8,4.1875874495334394E7,5.148337986925891E7,7.656378689705448E7,2.1296768738999504E8,204573.68966999612,NA,NA,NA,NA,NA,NA,NA,NA,6918804.884408978,1.1942785960844016E7,2519604.1986210896,9806985.624887297,2.245826048858508E7,4.687596003077497E7,2.2156179629529104E7,2.7751004606076825E7,7.295988733354643E7,9.262676158025324E7,3.96482312791715E7,204.0 205.0 206.0 207.0 208.0 
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,NA,NA,2.0983276436620615E7,NA,1.0491058723303525E7,1.4720046815777043E7,3.2462375998657744E7,2.704869200101496E7,3.750288470204759E7,NA,2.059444376109819E7,6.451179894304563E7,2.1925559341989875E7,2.5293345151630655E7,1.8480227291000992E7,5.195572459539522E7,773366.8881849501,2574308.6402661493,NA,NA,NA,NA,NA,NA,NA,1.0763070256533192E7,2664849.22915396,223837.95366713256,4153564.232185132,5557511.3154051,1.5550989855436878E7,NA,1.4351487599463249E7,2.1625747548690513E7,2.961702064557701E7,1.5759812651205955E7,188.0 189.0 190.0 191.0 
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,1680831.9843480142,1437653.3880425368,1804120.8723769991,819278.8346032847,93593.39737428198,1260334.2605132773,767690.694117845,1303223.8634631,569862.5094128322,404729.5836792581,1387018.6706836594,2111274.9196755826,884419.7624349905,1118406.6650776525,265226.08876642486,3718681.982268475,1006154.0649343067,NA,78384.87366332981,69167.8748755718,1471786.5641173052,589520.638341451,200224.2925724081,131212.3270464506,302434.78692901897,3200633.7169178873,463074.5503825415,494468.7286371465,380280.9064954459,133875.70602387266,181406.07270579453,95846.06352407779,130540.39386274312,181015.44173623458,151033.7498149038,94594.9426543812,245.0 246.0 247.0 248.0 249.0 250.0 251.0 
