Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,1923024.0,2101310.0,1309098.0,2123055.0,4441976.0,3023281.0,2660850.0,2743687.0,2628184.0,1128430.0,1640673.0,6636765.0,7358865.0,7776073.0,1867674.0,1668011.0,4987752.0,3969999.0,2316832.0,2472813.0,3176194.0,3346749.0,3151649.0,2601697.0,4143787.0,6062090.0,2165137.0,4760316.0,7727082.0,2827508.0,5000496.0,1846258.0,4564881.0,3478734.0,3374230.0,5210214.0,100.0 99.0 89.0 174.0 115.0 177.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,7.7445163E7,9.0080232E7,6.0760133E7,9.3522612E7,3.57162843E8,1.75042256E8,1.45647379E8,1.55042131E8,1.43756012E8,6.4345969E7,8.1579039E7,5.62317717E8,5.59743794E8,6.13694156E8,6.970709E7,8.4947865E7,2.04855762E8,1.70588088E8,8.9614682E7,1.19647892E8,1.10304712E8,1.20961031E8,1.54577033E8,1.51269505E8,1.69029925E8,4.26858549E8,8.2762866E7,2.37963331E8,5.56283536E8,1.80866385E8,2.31555991E8,8.743587E7,2.85191249E8,1.91119959E8,2.2397373E8,4.14200993E8,118.0 190.0 191.0 117.0 133.0 119.0 193.0 219.0 222.0 
Valine_(1TMS)_BP_RI:1084_IDENT:B+D,2776301.0,2716544.0,1.8331621E7,2350111.0,3569075.0,9669546.0,9229400.0,7790578.0,1.9972288E7,3623074.0,1750365.0,2499046.0,2013425.0,2368880.0,3471457.0,2937754.0,2.410823E7,2.6854223E7,NA,NA,6.5017074E7,3.5009593E7,8363216.0,NA,4.2515145E7,8167397.0,1.6754838E7,2.6064318E7,6354951.0,1.0116728E7,1.3370454E7,5261844.0,4360206.0,1.1157702E7,1.1332936E7,4979476.0,130.0 87.0 103.0 156.0 146.0 
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,8042776.0,8137552.0,4525164.0,6807775.0,1.25728916E8,4.1100767E7,3.8986458E7,2.7895151E7,2.0085251E7,7839866.0,9471901.0,1.20415514E8,1.17458709E8,1.42753299E8,8479436.0,9091669.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005599.0,NA,NA,1265793.0,970639.0,8266483.0,NA,5.9057112E7,1.582093E7,1.5064202E7,6.0933874E7,86.0 117.0 116.0 100.0 103.0 118.0 
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C,2.5416891E7,5.5243099E7,7.0824552E7,6.6657128E7,1.03223488E8,1.44732846E8,1.55831938E8,1.20005762E8,1.08412759E8,1.22796221E8,9.258815E7,1.50484846E8,1.56979953E8,1.84382612E8,1.61550738E8,1.17793617E8,510468.0,NA,NA,NA,NA,NA,NA,NA,NA,904149.0,NA,NA,2372644.0,1.5715238E7,9.9683878E7,8392294.0,8.3824838E7,9.4599655E7,7.4957839E7,1.01443329E8,86.0 176.0 103.0 104.0 102.0 276.0 277.0 
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C,2.6200603E7,1.9280998E7,9.0619806E7,2.2852986E7,3.0751398E7,5.8619943E7,6.2728489E7,4.7632302E7,8.1239378E7,3.4437452E7,1.954787E7,2.350228E7,2.0997846E7,2.0644094E7,2.8921601E7,2.6986236E7,1.43395355E8,1.49960404E8,420698.0,NA,1.89940489E8,1.75418476E8,8.4389566E7,NA,1.35843759E8,4.1814209E7,1.24068706E8,1.36529961E8,6.4547086E7,6.3404861E7,7.1813044E7,1.2461442E7,2.6135446E7,3.7410184E7,3.6332466E7,2.3572125E7,86.0 87.0 146.0 130.0 103.0 
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B,5886941.0,2909609.0,2332909.0,NA,NA,600331.0,149635.0,536845.0,1375302.0,NA,NA,517613.0,NA,NA,NA,NA,NA,NA,579513.0,337534.0,1339666.0,NA,1152212.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.0 88.0 117.0 149.0 133.0 
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D,2.4506924E7,7.0051877E7,1.60341926E8,2.3092216E7,2.9113978E7,3.948027E7,4.0335537E7,4.474974E7,6.4515017E7,5.0975265E7,2.4233075E7,2.9410127E7,2.5309937E7,2.2994235E7,2.6285834E7,3.4068687E7,2.01239083E8,2.07804392E8,1.15076811E8,5.7031844E7,2.36550952E8,2.65904649E8,4.6812E7,4.6097269E7,1.66072735E8,1.20087274E8,1.5922588E8,1.55850382E8,8.6340546E7,9.5128074E7,1.14946993E8,4.3917005E7,4.3319241E7,7.1581674E7,7.1129851E7,4.3016107E7,86.0 87.0 130.0 146.0 103.0 
Alanine_ beta-_(2TMS)_BP_RI:1188_IDENT:A+D,5.2380092E7,5.3432855E7,1.52040492E8,4.0445344E7,6.420978E7,1.54643605E8,1.49614152E8,1.1905446E8,1.03771734E8,6.2519434E7,1.912537E7,2.9523037E7,3.351992E7,1.9106339E7,5.3583272E7,4.5365047E7,4.9548323E7,NA,1.14646593E8,NA,NA,7.1301292E7,NA,NA,4.9782242E7,3.1570524E7,7.5448339E7,2.7841581E7,4.0454819E7,5.4945287E7,1.21336929E8,4603756.0,3.4443784E7,5.7340724E7,4.6850485E7,2.3271387E7,86.0 102.0 176.0 117.0 99.0 
Valine_(2TMS)_MP_RI:1212_IDENT:B+D,9.1545334E7,1.06779374E8,2.36457947E8,1.02601234E8,1.78507343E8,1.99834285E8,3.88542421E8,3.91377612E8,1.80280591E8,2.38313744E8,1.38683748E8,1.8711426E8,2.08069182E8,2.4075302E8,1.86735519E8,3.84231078E8,9.348381E7,NA,2590320.0,NA,NA,NA,NA,NA,NA,1.06628084E8,1.32436192E8,3.8295004E7,1.09382734E8,2.00170255E8,3.84188773E8,7.7907513E7,1.5186786E8,3.40326503E8,3.16976457E8,1.3465573E8,146.0 145.0 144.0 218.0 100.0 
Urea_(2TMS)_MP_RI:1249_IDENT:A+C,1.5827661E7,1.636717E7,1.7695303E7,1.0926416E7,2.852526E7,1.7109876E7,1.7445664E7,2.1199502E7,2.2365987E7,1.1805636E7,1.0033122E7,2.8120376E7,2.9435027E7,3.3639431E7,1.0881443E7,1.7299414E7,NA,NA,NA,NA,NA,1.8575204E7,NA,1.188593E7,NA,NA,NA,1.9182981E7,4740025.0,NA,1.8290595E7,NA,2.0807104E7,1.7313482E7,1.9908495E7,NA,189.0 87.0 171.0 99.0 100.0 
Serine_(2TMS)_BP_RI:1260_IDENT:C+D,7074187.0,4010358.0,6275235.0,1.546226E7,3.0504325E7,1.9383844E7,2.8143449E7,1.2436735E7,1.1117336E7,2.0529004E7,1.0568776E7,1.3549075E7,1.3632442E7,1.3924366E7,1.6141103E7,1.5595524E7,6.5428515E7,3.9615847E7,2.888354E7,5.0436188E7,6.6065532E7,1.52257885E8,7.5659759E7,4.9167825E7,4.4106954E7,8.5060082E7,1.13113685E8,1.09155672E8,5.8378665E7,3.5022626E7,4.2408212E7,2.608208E7,2.4077603E7,2.8250352E7,1.9623056E7,1.7343856E7,103.0 116.0 132.0 117.0 144.0 118.0 
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C,1.29747706E8,1.49809079E8,2.02553156E8,1.08323471E8,1.99909133E8,3.12926402E8,3.22963526E8,3.15894758E8,3.4170343E8,2.43200538E8,1.54703561E8,1.84994486E8,2.29443852E8,2.74519287E8,3.70408E8,3.43576946E8,2.45782078E8,3.22639845E8,2.66800942E8,2.6738141E8,1.06923968E8,3.61217645E8,3.5632886E8,1.62248158E8,2.53624292E8,3.2782349E8,3.42214707E8,3.21936704E8,4.07131625E8,2.16617558E8,3.56048146E8,2.03983284E8,1.9903072E8,5.03070804E8,4.80037161E8,3.82726829E8,299.0 102.0 159.0 100.0 158.0 
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D,7.8184094E7,8.6327204E7,1.12722312E8,8.4093724E7,1.25810042E8,1.23088675E8,1.12669349E8,1.04645099E8,1.05402656E8,9.3894254E7,8.0765196E7,1.2646381E8,1.62247114E8,1.66233471E8,1.24495503E8,5.2041433E7,4.00753399E8,3.2818528E7,2.6732034E7,7.7486793E7,2.3305172E7,NA,2.14971969E8,1.12917919E8,3.46300351E8,1.64699015E8,7.2279589E7,1.59997909E8,8.5474835E7,4.11840956E8,1.76779514E8,1.14156563E8,7.4801704E7,1.19369801E8,1.3343604E8,1.03722181E8,101.0 117.0 133.0 205.0 103.0 218.0 221.0 
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D,1.0693562E7,1.3402446E7,3.8451354E7,7912695.0,2.6128408E7,3.3178056E7,1.3628874E8,2.25438067E8,2.35407166E8,1.3378898E8,8.7145018E7,1.05960662E8,1.19770188E8,1.66286948E8,2.53001411E8,2.93975422E8,1108887.0,NA,NA,NA,NA,NA,NA,NA,NA,1.6077331E7,3.2019269E7,6107523.0,3.0625946E7,4.6924513E7,2.09247964E8,5.8826883E7,2.4671313E7,2.63261893E8,2.66963296E8,1.16290863E8,218.0 100.0 159.0 158.0 102.0 
Proline_(2TMS)_MP_RI:1305_IDENT:A+B,1781368.0,7455619.0,1.5039275E7,4011853.0,9604655.0,2.8660872E7,3.3966049E7,3.6083652E7,3.7133445E7,2.6244816E7,1.7884875E7,2.1928819E7,2.7206124E7,4.1021033E7,4.6816736E7,4.0002376E7,2597351.0,6886038.0,4391805.0,2724268.0,2135177.0,7960540.0,5309470.0,4693553.0,1.3072685E7,9076335.0,6563995.0,1016871.0,7935620.0,1.4232628E7,3.5337423E7,1.9676502E7,7537643.0,1.6429725E7,4.3971945E7,7.0694956E7,144.0 100.0 216.0 143.0 142.0 
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D,4426157.0,2786729.0,1621487.0,1.9107625E7,1.2185203E7,4.2891063E7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5861145E7,1.71519231E8,3.1993552E7,6.5755001E7,4.8741481E7,1.03966156E8,1.00613049E8,8.0119565E7,1.88367205E8,1.67188991E8,1.20965466E8,1.20773221E8,8.8878745E7,5.6863714E7,4.2803554E7,2.2077095E7,3.3634908E7,3.4658742E7,2.8295984E7,2.1450289E7,146.0 87.0 130.0 117.0 131.0 
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C,2.57946685E8,2.83275385E8,2.6853151E8,1.64835668E8,3.31350721E8,3.4357314E8,3.36874549E8,3.02696843E8,2.42714508E8,2.22041557E8,1.61705464E8,2.04388054E8,2.42887768E8,2.72299478E8,2.63420957E8,3.6410785E8,2.99080491E8,4.6551939E7,2.9710083E7,2.3626548E7,2.9605264E7,2.21831E7,2.2567728E7,1.3936359E7,5.5132653E7,8.1470637E7,6.594623E7,2.7495896E7,2.8576975E7,1.64002634E8,2.66577494E8,7.7690816E7,1.99624362E8,2.30923365E8,2.40216896E8,2.19994803E8,86.0 133.0 175.0 100.0 174.0 
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D,1032826.0,1463869.0,1365875.0,NA,3557311.0,2280490.0,2016087.0,1779092.0,1564414.0,2518925.0,2033406.0,3193732.0,2336099.0,3136371.0,2014573.0,2181556.0,1732799.0,3388704.0,3075978.0,2026189.0,2453139.0,3869849.0,2093699.0,1607663.0,2487521.0,2378913.0,1731053.0,1520923.0,2367485.0,2620495.0,2618104.0,1333712.0,2351114.0,680617.0,2980624.0,2715645.0,149.0 247.0 129.0 133.0 172.0 249.0 251.0 
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C,7434405.0,NA,NA,NA,NA,NA,NA,940783.0,NA,NA,NA,1417951.0,2253136.0,1698382.0,1234022.0,783845.0,2.9927317E7,NA,NA,NA,NA,NA,NA,NA,NA,2.3670226E7,2.5613892E7,4.2942786E7,4.2384848E7,1.9042184E7,1.8802492E7,2.0615066E7,2.1346495E7,1.4498595E7,1.5018162E7,1.5911736E7,126.0 100.0 99.0 113.0 241.0 
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C,6204210.0,6564434.0,1.6497919E7,6350501.0,8975152.0,1.9294931E7,1.9612523E7,1.9882196E7,2.2796156E7,1.6264246E7,7714378.0,1.8722259E7,1.8318339E7,1.9632295E7,2.1916572E7,2.2073231E7,5539894.0,6107894.0,7057669.0,6842989.0,8077499.0,1.0182697E7,9321443.0,7529218.0,8506428.0,1.1302998E7,9836573.0,9703540.0,1.0272535E7,9381523.0,2.4365661E7,9081445.0,1.4597927E7,1.9524826E7,1.1585095E7,1.5740747E7,143.0 246.0 133.0 115.0 245.0 247.0 249.0 
Serine_(3TMS)_MP_RI:1373_IDENT:C+D,5.5442021E7,6.6631122E7,1.20954763E8,4.1373061E7,5.226502E7,1.22202241E8,1.28566834E8,1.32837402E8,1.66196318E8,1.07746536E8,7.427068E7,8.745603E7,9.7241046E7,1.11398486E8,1.60779727E8,1.63448887E8,2316946.0,NA,NA,NA,NA,NA,NA,NA,NA,1.2651697E7,3.545371E7,6522708.0,3.2284461E7,5.9028008E7,1.35312038E8,6.3940126E7,6.8666705E7,1.32195072E8,1.3207546E8,9.1855514E7,116.0 218.0 133.0 204.0 100.0 206.0 
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,NA,NA,4.9435107E7,NA,3.2960561E7,5.5911352E7,5.8752185E7,6.0145505E7,7.2878363E7,NA,3.1518776E7,5.7584722E7,6.0357329E7,6.7100251E7,6.9008516E7,7.0631639E7,3348592.0,1.3403397E7,NA,NA,NA,NA,NA,NA,NA,1.3744749E7,1.5643037E7,1189891.0,1.7712665E7,2.5381215E7,6.791794E7,NA,4.4949501E7,5.8990975E7,6.0042199E7,4.7538366E7,110.0 133.0 114.0 100.0 188.0 190.0 
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D,1.97931717E8,2.05885657E8,4.07643996E8,1.72532508E8,3.06665051E8,5.00193027E8,5.28648368E8,4.82079247E8,5.49628196E8,3.37503993E8,2.23107741E8,3.63378348E8,3.96133647E8,4.51627028E8,4.79294884E8,4.45196208E8,1.48725884E8,NA,NA,NA,NA,NA,NA,NA,NA,1.78504974E8,2.94574843E8,1.85422919E8,2.97670789E8,2.18224561E8,5.06540507E8,1.53677253E8,2.30233246E8,3.78585999E8,3.87403705E8,2.70219704E8,218.0 117.0 101.0 100.0 219.0 
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,7637871.0,4761080.0,5993316.0,4740900.0,2195787.0,8431035.0,3729505.0,4301308.0,3500444.0,4006791.0,3074484.0,3919234.0,3923975.0,4773711.0,2574761.0,4017031.0,1.1763006E7,NA,7162661.0,1846932.0,2.0184414E7,2.7479706E7,6556279.0,2495250.0,6870798.0,3.9268566E7,2.1242664E7,1.3134963E7,1.6945068E7,5165592.0,7858735.0,6103836.0,4030775.0,4285100.0,2816133.0,2523184.0,117.0 116.0 100.0 130.0 160.0 163.0 132.0 102.0 118.0 
Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D,6739504.0,5991996.0,5445442.0,3274372.0,5341149.0,5479298.0,5377106.0,3600801.0,4170695.0,3799192.0,2743522.0,3210910.0,3860185.0,4643001.0,4314511.0,5095461.0,5624465.0,537886.0,271628.0,514019.0,184992.0,1269622.0,924329.0,410469.0,1163230.0,4199639.0,2997519.0,1526471.0,3224570.0,3175868.0,4444666.0,2805751.0,4230934.0,3870003.0,3911864.0,4419882.0,86.0 248.0 174.0 133.0 100.0 
Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D,1.3599613E7,1.4122965E7,1.0589412E7,1.1685942E7,1.3916798E7,1.5121021E7,1.513735E7,1.3238226E7,1.7241522E7,1.3141325E7,1.2532771E7,2.1301055E7,1.8855134E7,1.9514274E7,1.7167945E7,1.1978975E7,1.4542368E7,1.9330846E7,1.7232825E7,1.892484E7,1.6557334E7,2.0569172E7,2.3408589E7,1.667252E7,1.9514327E7,2.5547877E7,2.6357678E7,2.5594768E7,2.9440966E7,1.8632432E7,2.6923988E7,1.801377E7,1.4151603E7,1.3220429E7,1.4205639E7,1.2098753E7,101.0 133.0 117.0 149.0 233.0 245.0 247.0 249.0 
Methionine_(2TMS)_MP_RI:1516_IDENT:C+D,4.8468108E7,5.0655464E7,4.3434974E7,5.1954136E7,2.6141066E7,5.1305436E7,5.5613358E7,5.2540914E7,5.7549344E7,3.2329677E7,1.847235E7,2.2266458E7,2.7738598E7,2.9130492E7,4.5835792E7,1.05198299E8,9999602.0,NA,NA,NA,NA,NA,NA,NA,3.0745547E7,6.0895118E7,7.4552893E7,5.6256129E7,1.7630114E7,7.4661912E7,1.23708535E8,6.178255E7,6.7123523E7,1.01026643E8,9.6878579E7,7.888546E7,128.0 177.0 100.0 129.0 176.0 
