Metabolite,e19243a_to_025_11_MG_C13_17min_R3.cdf,e19243a_to_026_09_MG_C13_17min_R1.cdf,e19243a_to_027_19_MG_C13_20min_R3.cdf,e19243a_to_028_10_MG_C13_17min_R2.cdf,e19243a_to_029_28_C13_2min_R4.cdf,e19243a_to_030_35_C13_5min_R3.cdf,e19243a_to_031_36_C13_5min_R4.cdf,e19243a_to_032_34_C13_5min_R2.cdf,e19243a_to_033_33_C13_5min_R1.cdf,e19243a_to_034_20_MG_C13_20min_R4.cdf,e19243a_to_035_12_MG_C13_17min_R4.cdf,e19243a_to_036_26_C13_2min_R2.cdf,e19243a_to_037_25_C13_2min_R1.cdf,e19243a_to_038_27_C13_2min_R3.cdf,e19243a_to_039_17_MG_C13_20min_R1.cdf,e19243a_to_040_18_MG_C13_20min_R2.cdf,e19243a_to_044_03_MG_C12_15min_R3.cdf,e19243a_to_045_29_C12_5min_R1.cdf,e19243a_to_046_16_MG_C12_20min_R4.cdf,e19243a_to_047_08_MG_C12_17min_R4.cdf,e19243a_to_048_13_MG_C12_20min_R1.cdf,e19243a_to_049_14_MG_C12_20min_R2.cdf,e19243a_to_050_06_MG_C12_17min_R2.cdf,e19243a_to_051_07_MG_C12_17min_R3.cdf,e19243a_to_052_04_MG_C12_15min_R4.cdf,e19243a_to_053_23_C12_2min_R3.cdf,e19243a_to_054_15_MG_C12_20min_R3.cdf,e19243a_to_055_01_MG_C12_15min_R1.cdf,e19243a_to_056_22_C12_2min_R2.cdf,e19243a_to_057_02_MG_C12_15min_R2.cdf,e19243a_to_058_30_C12_5min_R2.cdf,e19243a_to_059_05_MG_C12_17min_R1.cdf,e19243a_to_060_21_C12_2min_R1.cdf,e19243a_to_061_32_C12_5min_R4.cdf,e19243a_to_062_31_C12_5min_R3.cdf,e19243a_to_063_24_C12_2min_R4.cdf,QuantMasses
Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D,1941855.2757585049,2319460.213359446,2050951.3931122208,2243496.7111898893,4040740.0827609277,2660292.286938477,4914187.452351034,4171665.010673452,4607581.339104682,1042843.1909668891,4000710.401516449,2.0454182560679544E7,7570408.529300908,8415441.582035035,1846062.773629375,4503602.308233673,3492551.2907538577,2988471.791128678,1700019.5049769224,1804039.9136652357,7731330.9124422595,2489379.4609966874,2239553.291744434,2044515.0214095225,2937657.7000007937,1.2275878733288636E7,1552934.9561305405,4619423.806164393,5453775.928322593,2206388.4974507797,3705980.8349853526,1340630.7932106277,4036561.064287813,4078978.6866837135,5064924.860740055,4779618.244780726,100.0 99.0 89.0 174.0 115.0 177.0 
Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C,7.820354730545607E7,9.94320277037602E7,9.5192322822305E7,9.882818506533656E7,3.2490094853798133E8,1.5402589555026817E8,2.6898867743375814E8,2.357352836066759E8,2.5202478908451948E8,5.946558992389118E7,1.9892697074494192E8,1.7330354834957294E9,5.758346147566031E8,6.641536568720864E8,6.890049543283917E7,2.2935784050196457E8,1.4344523464507958E8,1.284125484390743E8,6.575647579639108E7,8.7289080393021E7,2.6849815523662615E8,8.997325648035859E7,1.098420233608622E8,1.188734795995394E8,1.1983049821499191E8,8.643988762607526E8,5.936130031538319E7,2.3092027424557054E8,3.926250242923492E8,1.411354137422438E8,1.71611389124607E8,6.349016212964891E7,2.5218442530900818E8,2.2409711100672403E8,3.3619821803187114E8,3.799695412029321E8,118.0 190.0 191.0 117.0 133.0 119.0 193.0 219.0 222.0 
Valine_(1TMS)_BP_RI:1084_IDENT:B+D,2803488.0188409574,2998565.526190958,2.8719976371482685E7,2483433.6837393204,3246686.702242416,8508576.821670497,1.7045305700332083E7,1.1845258462617042E7,3.501426897356668E7,3348278.627180393,4268189.616060202,7701936.577765821,2071304.4461486493,2563655.3636843627,3431288.0823715003,7931887.556750348,1.6881198143831305E7,2.0214888695986807E7,NA,NA,1.582612756187896E8,2.6040841949023783E7,5942878.766756615,NA,3.0140290289027948E7,1.6539176280560898E7,1.2017333598060682E7,2.529288624129976E7,4485325.610556428,7894383.425630708,9909146.268500814,3820804.078016497,3855574.2793457503,1.3082928631613754E7,1.701142758246354E7,4567949.481354845,130.0 87.0 103.0 156.0 146.0 
Alanine_(2TMS)_BP_RI:1097_IDENT:B+C,8121535.1484661065,8982362.477760818,7089531.425348804,7193982.644359543,1.143720430824664E8,3.616602407694008E7,7.200209057827783E7,4.241344781462046E7,3.521230922143718E7,7245244.167731114,2.3096822372790955E7,3.7111467808398575E8,1.2083526636978301E8,1.5449083983358702E8,8381318.7638596315,2.4547356998303086E7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2036362.2741193748,NA,NA,893396.9373741911,757418.4493119479,6126477.767551904,NA,5.222209272672925E7,1.855078205850604E7,2.2612285237523835E7,5.5898021827043936E7,86.0 117.0 116.0 100.0 103.0 118.0 
Glycine_(2TMS)_BP_RI:1117_IDENT:A+C,2.566578674095012E7,6.097823271824575E7,1.1096015240337157E8,7.043861202152723E7,9.389949100220074E7,1.2735556962136646E8,2.877980173234659E8,1.8246390292136303E8,1.9006302651916805E8,1.1348262891478898E8,2.2577221345275092E8,4.637868769950039E8,1.6149261810353303E8,1.995430212690946E8,1.596814023615216E8,3.180408315151358E8,357442.72615970887,NA,NA,NA,NA,NA,NA,NA,NA,1830923.5726992157,NA,NA,1674612.5812666449,1.2263067109943243E7,7.387797958942834E7,6093930.405217902,7.412330733069131E7,1.1092253001023717E8,1.1251628438442266E8,9.305959142939113E7,86.0 176.0 103.0 104.0 102.0 276.0 277.0 
Leucine_(1TMS)_BP_RI:1153_IDENT:B+C,2.645717326648243E7,2.1282679725915283E7,1.4197318868355095E8,2.4149444518332586E7,2.7973678043180384E7,5.158176901970845E7,1.1585003045971769E8,7.242298688998821E7,1.4242421461863837E8,3.182551184605964E7,4.766663852973222E7,7.243286837973134E7,2.1601466048819613E7,2.2341504133389693E7,2.8586943417246323E7,7.28623940370529E7,1.0040908854196392E8,1.1288477330605377E8,308695.15170059,NA,4.623435388802129E8,1.3047980330575742E8,5.996699833140815E7,NA,9.630380727180286E7,8.46747836162753E7,8.898773172749943E7,1.3248905158777194E8,4.55573454339126E7,4.94766967919686E7,5.322227330368025E7,9048677.31000122,2.3110640501120765E7,4.386519440719413E7,5.453724562208053E7,2.1624017500673074E7,86.0 87.0 146.0 130.0 103.0 
Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B,5944589.063334129,3211673.8186809956,3654946.3550888,NA,NA,528252.560350845,276353.21022701275,816251.0893753513,2411100.5282862033,NA,NA,1595257.7494880443,NA,NA,NA,NA,NA,NA,425228.67578991107,246247.8190704601,3260947.2715293434,NA,818758.7441962723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.0 88.0 117.0 149.0 133.0 
Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D,2.474690885917842E7,7.732440314501414E7,2.5120617135156927E8,2.440224612649533E7,2.6484163325785603E7,3.474009123440678E7,7.449363542072678E7,6.804016806389876E7,1.1310402484043024E8,4.7108999240522474E7,5.9091309001384325E7,9.064056159752087E7,2.603751569581296E7,2.4884879728634927E7,2.5981675400097303E7,9.198489543036018E7,1.4091274367325655E8,1.564276372776532E8,8.443979678739886E7,4.160756309754486E7,5.758003722585098E8,1.9778524526462346E8,3.3264481131350745E7,3.622503270613585E7,1.1773405552286866E8,2.4317963161800724E8,1.1420405959190883E8,1.5123764153695148E8,6.0939173599171005E7,7.423126239014941E7,8.5189819789316E7,3.1889632569546133E7,3.830565606312635E7,8.393286827999546E7,1.0677024111297566E8,3.946106049322348E7,86.0 87.0 130.0 146.0 103.0 
Alanine_ beta-_(2TMS)_BP_RI:1188_IDENT:A+D,5.2893025773425534E7,5.8980055897846736E7,2.382003936121417E8,4.273982362536238E7,5.840982295970554E7,1.3607639832548165E8,2.763147071246182E8,1.8101748674197242E8,1.8192664786975905E8,5.7777590147376284E7,4.6636390488446295E7,9.098854465145247E7,3.448350911037016E7,2.0677310989886243E7,5.296324932962456E7,1.2248488192363782E8,3.4695000763538174E7,NA,8.412411615479703E7,NA,NA,5.3035340220413126E7,NA,NA,3.529215824428305E7,6.393107396465221E7,5.411498811164705E7,2.701754716969509E7,2.8553018855869193E7,4.2875439866459034E7,8.992554607582498E7,3342943.975342659,3.045740675411682E7,6.723468683578949E7,7.032543312525496E7,2.1348133855260648E7,86.0 102.0 176.0 117.0 99.0 
Valine_(2TMS)_MP_RI:1212_IDENT:B+D,9.244179469365668E7,1.1786481271227379E8,3.7045641793976134E8,1.0842184071680869E8,1.6238308715023524E8,1.758412820546173E8,7.175790781082333E8,5.950738148853459E8,3.160575845885842E8,2.2023861935984182E8,3.3817434256849843E8,5.766769252409055E8,2.1405049693090755E8,2.6054834818404E8,1.845747652643132E8,1.0374176008287189E9,6.545975046074632E7,NA,1900696.5218590826,NA,NA,NA,NA,NA,NA,2.1592444664248046E8,9.498927412612498E7,3.716157774709928E7,7.720235422159532E7,1.561987970197748E8,2.8473100063564456E8,5.6571297700677425E7,1.3429131900540507E8,3.990487781619983E8,4.758009789873841E8,1.235271687251747E8,146.0 145.0 144.0 218.0 100.0 
Urea_(2TMS)_MP_RI:1249_IDENT:A+C,1.5982653890833985E7,1.80663489062967E7,2.77230630093338E7,1.1546275702274594E7,2.5948623192285817E7,1.5055587341459084E7,3.221950246227038E7,3.2232984570434555E7,3.921076466939069E7,1.0910226702262064E7,2.446533559404191E7,8.666561259573777E7,3.028118866985636E7,3.640535093142752E7,1.0755531664342893E7,4.670813371224166E7,NA,NA,NA,NA,NA,1.381661167940097E7,NA,9340427.585695831,NA,NA,NA,1.8615217793230373E7,3345510.5361438245,NA,1.3555574193135824E7,NA,1.8398978169855293E7,2.0300869244467128E7,2.988386424915287E7,NA,189.0 87.0 171.0 99.0 100.0 
Serine_(2TMS)_BP_RI:1260_IDENT:C+D,7143461.208831627,4426698.498711642,9831351.025940431,1.6339439843792545E7,2.7748922714815713E7,1.7056532516963746E7,5.197669314004218E7,1.8909552090496436E7,1.9490275374234334E7,1.897196284991717E7,2.5771504787667874E7,4.175758122795356E7,1.4024330544452157E7,1.506926293514411E7,1.5954331095050542E7,4.210765869320624E7,4.5814716632935666E7,2.982137810139742E7,2.1193846326700054E7,3.679570442452527E7,1.6081337909414327E8,1.1325248821880446E8,5.37636209873119E7,3.8637995424730346E7,3.126877251212015E7,1.7224872142703053E8,8.113029127174807E7,1.059249658666929E8,4.120367273242456E7,2.732919558739378E7,3.1429686358712386E7,1.8939086302663576E7,2.1290963508398015E7,3.3124862004198257E7,2.9455402915063377E7,1.5910480946166445E7,103.0 116.0 132.0 117.0 144.0 118.0 
Leucine_(2TMS)_MP_RI:1277_IDENT:B+C,1.3101826467774892E8,1.653617021479563E8,3.173381041583418E8,1.14468702380849E8,1.818516909193308E8,2.753550508933868E8,5.964647789376502E8,4.803051911547336E8,5.990548407478559E8,2.2475476998376876E8,3.77237966154337E8,5.701438862703556E8,2.36039619448985E8,2.9709096389532477E8,3.661219355489821E8,9.276521120433115E8,1.7210288598211485E8,2.4287161671240446E8,1.95770261005639E8,1.950680200290475E8,2.6026891905198073E8,2.686809756012754E8,2.532063282924404E8,1.2750093351648004E8,1.7980203960798413E8,6.638504887198079E8,2.454519880276725E8,3.1240826754688126E8,2.8735357746738815E8,1.6903311619881433E8,2.6387534464742434E8,1.4811920751629987E8,1.7599574993283936E8,5.898741000055882E8,7.205650328602307E8,3.510965451045721E8,299.0 102.0 159.0 100.0 158.0 
Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D,7.894971431157327E7,9.528937425156897E7,1.7660097474079895E8,8.88643926915272E7,1.1444584111288215E8,1.0831009512909219E8,2.080832444971943E8,1.591086366763991E8,1.847858867102418E8,8.677275812838687E7,1.9694244966407976E8,3.897552281961304E8,1.6691119291902444E8,1.7990161154343784E8,1.2305494083687206E8,1.40511014485269E8,2.8061776145875853E8,2.470460197958908E7,1.961513791578598E7,5.6530464436217375E7,5.67282718572555E7,NA,1.5275850223382503E8,8.873530683311844E7,2.4550294033649114E8,3.335194851333593E8,5.184221616130919E7,1.552624132034773E8,6.032815461261384E7,3.213717337307384E8,1.3101530146249989E8,8.289296707442243E7,6.61444725303424E7,1.3996668733874917E8,2.0029562783648548E8,9.515010874717405E7,101.0 117.0 133.0 205.0 103.0 218.0 221.0 
Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D,1.0798279057542011E7,1.4793838252660697E7,6.024137081666244E7,8361585.172851708,2.37682746382086E7,2.9194549389359724E7,2.5170468684996614E8,3.4276945445225984E8,4.127023317823707E8,1.2364163201918179E8,2.1249937065639418E8,3.265655367936728E8,1.2321319290286928E8,1.7995948555895728E8,2.5007388148188895E8,7.937288117903107E8,776470.9879621466,NA,NA,NA,NA,NA,NA,NA,NA,3.2556983764830634E7,2.2965679354168802E7,5926757.203281583,2.1615798444601413E7,3.661659161766459E7,1.5507840509095597E8,4.2716202620868154E7,2.1815960035027802E7,3.086869103998777E8,4.007281764478136E8,1.066800577665516E8,218.0 100.0 159.0 158.0 102.0 
Proline_(2TMS)_MP_RI:1305_IDENT:A+B,1798812.1047201576,8229633.7220432665,2.3561889188317295E7,4239446.934383373,8737083.324986484,2.5219718814933497E7,6.273015457532005E7,5.486373208959956E7,6.510022442822499E7,2.4254253842753973E7,4.361149689323924E7,6.758353914385973E7,2.7988211929260574E7,4.4393887100369476E7,4.6275010260052994E7,1.0800575828842331E8,1818731.482156856,5183560.579143758,3222570.37284325,1987488.8264987948,5197339.943226304,5921210.337089089,3772895.0831511756,3688377.0909070997,9267627.353899918,1.837979769398068E7,4707996.43965536,986774.429512283,5600962.087928577,1.1106142478711253E7,2.6189364494196296E7,1.4287778026619522E7,6665268.218448976,1.9264622734326504E7,6.6004569162622094E7,6.48524036654868E7,144.0 100.0 216.0 143.0 142.0 
Threonine_(2TMS)_BP_RI:1303_IDENT:C+D,4469500.2879763525,3076036.872672264,2540368.270032767,2.0191607775658056E7,1.108453494090889E7,3.774136908791882E7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.611765520424371E7,1.2911347924258506E8,2.3475876728866585E7,4.797153942780853E7,1.1864404969391575E8,7.733212541041397E7,7.149536166000529E7,6.296108046067495E7,1.3353928910821865E8,3.385617467007064E8,8.676194653549424E7,1.1719866753269184E8,6.273063493056266E7,4.437244545088144E7,3.1722683268471893E7,1.603093033673321E7,2.9742146626320086E7,4.0638999683583066E7,4.247399638456857E7,1.9677539667318713E7,146.0 87.0 130.0 117.0 131.0 
Glycine_(3TMS)_MP_RI:1314_IDENT:A+C,2.6047263639542055E8,3.126839851957013E8,4.2070576422011817E8,1.7418685763901007E8,3.014203903389917E8,3.023222037055879E8,6.221563341459358E8,4.6023829568912756E8,4.255131443577672E8,2.052006113176151E8,3.9431180485498554E8,6.299139068112295E8,2.4987000448167756E8,2.9468863652998555E8,2.6037286084805182E8,9.830852156886255E8,2.0942379550574034E8,3.50426175230379E7,2.18003379591111E7,1.72367403496049E7,7.206363740193892E7,1.6500237550301984E7,1.6036566740012301E7,1.0951734702102432E7,3.9085228706717275E7,1.649800085673057E8,4.729964237460472E7,2.668209349005829E7,2.01696343275866E7,1.2797612781616539E8,1.975666181519639E8,5.6413946631110564E7,1.765206863295003E8,2.7076847039534605E8,3.6058020008126545E8,2.0181343303283542E8,86.0 133.0 175.0 100.0 174.0 
Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D,1042939.9825694083,1615842.452122856,2139903.3793246606,NA,3235985.3237717533,2006684.114854136,3723407.722437581,2705037.36292407,2742640.832237816,2327874.8214831855,4958372.8961870875,9842924.584173797,2403254.278328427,3394251.4338649865,1991261.976157965,5890165.374893222,1213350.0992164393,2550893.920246558,2257057.3079446005,1478205.5208499187,5971306.974075793,2878471.7998746154,1487776.8708926754,1263364.3167764337,1763479.9326229063,4817356.308640068,1241590.1232183648,1475907.8837503577,1670971.358096732,2044850.103210064,1940336.1682518078,968453.691994582,2079006.0529731172,798055.3376011528,4474098.267788048,2491211.7598907747,149.0 247.0 129.0 133.0 172.0 249.0 251.0 
Uracil_(2TMS)_MP_RI:1350_IDENT:A+C,7507206.65544237,NA,NA,NA,NA,NA,NA,1430422.4657318427,NA,NA,NA,4370055.081971129,2317906.360841642,1838027.305682422,1219742.8866277887,2116368.6278432356,2.0955871426075287E7,NA,NA,NA,NA,NA,NA,NA,NA,4.79327796132251E7,1.837145097485859E7,4.1671798248566486E7,2.9915233686922435E7,1.4859181917059572E7,1.3934952653089896E7,1.4969301302239148E7,1.8875942346802574E7,1.700028228426176E7,2.254317639177578E7,1.4596717849158267E7,126.0 100.0 99.0 113.0 241.0 
Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C,6264964.930449996,7245929.199510781,2.5847132878136378E7,6710767.317807643,8164442.229150249,1.6978294811600417E7,3.622136326194488E7,3.0230074126003318E7,3.996491226981034E7,1.503066933466007E7,1.8811178282223005E7,5.770107929606151E7,1.8844931902980346E7,2.1246512435490064E7,2.1662970997490942E7,5.9597361217507E7,3879175.215676231,4597801.894208061,5178698.740206874,4992300.38210417,1.966183983532537E7,7574095.56837175,6623792.292370791,5916753.296201273,6030467.713157639,2.288884407367822E7,7055238.564686604,9416342.041172989,7250357.134278026,7320681.121245256,1.8057943191585403E7,6594346.409791421,1.2908424939777356E7,2.2893773745048635E7,1.73899336084189E7,1.443986015692973E7,143.0 246.0 133.0 115.0 245.0 247.0 249.0 
Serine_(3TMS)_MP_RI:1373_IDENT:C+D,5.5984938813849345E7,7.354851804374379E7,1.8949867746983686E8,4.3720170360804915E7,4.7544012223456755E7,1.075300903815745E8,2.3744349453418952E8,2.0197389207739937E8,2.913658455590277E8,9.9574401086349E7,1.8110585229579553E8,2.6953517318336076E8,1.0003641105476753E8,1.2055795402899995E8,1.5891931288275883E8,4.4130931077278554E8,1622384.7422460034,NA,NA,NA,NA,NA,NA,NA,NA,2.5619992138406333E7,2.5429017001471456E7,6329653.875049248,2.2786378643408924E7,4.606130836009398E7,1.0028281585882875E8,4.642910245337731E7,6.071951225364632E7,1.5500491879304913E8,1.9825331434065807E8,8.426415701890774E7,116.0 218.0 133.0 204.0 100.0 206.0 
Alanine_(3TMS)_MP_RI:1367_IDENT:B+C,NA,NA,7.74495122369003E7,NA,2.9983291216113415E7,4.9198383636156276E7,1.0850639845357934E8,9.144880547882655E7,1.2776616301723818E8,NA,7.685717689403497E7,1.7747327447845143E8,6.2092406677853316E7,7.26174050102652E7,6.821000477117908E7,1.9070426540036458E8,2344769.60999826,1.0089592929317802E7,NA,NA,NA,NA,NA,NA,NA,2.7833448850724794E7,1.1219899238405433E7,1154673.5158213775,1.2501602287052484E7,1.980571613849552E7,5.033552351440439E7,NA,3.974723669593273E7,6.916968349166442E7,9.012699976249446E7,4.3609579464617714E7,110.0 133.0 114.0 100.0 188.0 190.0 
Threonine_(3TMS)_MP_RI:1397_IDENT:C+D,1.9986996984769267E8,2.2725994256576595E8,6.386519737178061E8,1.8232034227626854E8,2.789645337024838E8,4.401376027264781E8,9.76333568871395E8,7.329819790237387E8,9.635766062556391E8,3.119056928867423E8,5.440386110318985E8,1.1199141552533715E9,4.0752120605444926E8,4.887609556908868E8,4.7374886781280327E8,1.202022450670696E9,1.0414166103942387E8,NA,NA,NA,NA,NA,NA,NA,NA,3.6147688571315193E8,2.1128250586053717E8,1.7993491319422746E8,2.1009609883950934E8,1.7028710838365304E8,3.7540864167989814E8,1.115902856414544E8,2.0358702811928675E8,4.4390983070216393E8,5.815165701796577E8,2.4788752003999206E8,218.0 117.0 101.0 100.0 219.0 
Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C,7712665.102938334,5255357.673366324,9389671.208390635,5009853.045766666,1997445.403600868,7418767.022122106,6887831.585576204,6539964.683919778,6136777.506057776,3702892.2591365105,7496996.731277896,1.2078885983460667E7,4036776.5693165357,5166217.710407047,2544967.9296776326,1.0845917733064242E7,8236757.117925144,NA,5255738.615289114,1347428.6352528725,4.913188045432121E7,2.0439960006151475E7,4658874.2007897785,1960864.8152233374,4870919.439114524,7.95197950288005E7,1.5236206986872338E7,1.2746204406448748E7,1.1959832180141153E7,4030864.906951198,5824286.4902258925,4432203.136456327,3564270.223890767,5024480.621487121,4227187.252454774,2314656.611290594,117.0 116.0 100.0 130.0 160.0 163.0 132.0 102.0 118.0 
