"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1398.8","273","1395.2,4513","1405.6,4718","910","273","408.83","1235817","","1816.7","400.31"
"#Citrate_275_heavy","#Citrate_275_heavy","1398.8","273","1395.6,4615","1402,4690","899","275","109.01","332707","","1816.7","400.31"
"#Fumarate_247_heavy","#Fumarate_245_light","903","245","900,4645","907.8,4800","914","245","563.68","1504648","","1364.7","550.85"
"#Fumarate_247_heavy","#Fumarate_247_heavy","903","245","900.4,4664","906,4692","896","247","40.340","114210","","1364.7","550.85"
"#Malate_245_light","#Malate_245_light","1068.2","233","1065.4,4660","1073,5066","946","245","396.45","1091684","","1486.7","518.71"
"#Malate_245_light","#Malate_247_heavy","1068.2","233","1065.4,4398","1071,4821","944","247","47.464","133220","","1486.7","518.71"
"#Sorbitol_323","#Sorbitol_319","1490.8","319","1489,23658","1492.8,23812","617","319","563.25","1201853","BaselineModified","1927.4","633.65"
"#Sorbitol_323","#Sorbitol_323","1490.8","319","1490.6,1133858","1491,1112249","617","323","6.1595","2141.9","","1927.4","633.65"
"#Succinate_247_light","#Succinate_247_light","854","247","851.8,4602","856.2,4592","936","247","29.964","83987","","1328.5","29.964"
"#Succinate_247_light","#Succinate_249_heavy","854","247","852.2,4809","856.6,4916","852","249","6.1925","22829","BaselineModified","1328.5","29.964"
"Unknown 1","","350.6","77","","","","","","","","980.25","101.80"
"Unknown 10","","387.2","117","","","","","","","","1004.7","62.438"
"Unknown 100","","1086.4","84","","","","","","","","1500.2","1884.2"
"Unknown 101","","1090","159","","","","","","","","1503.7","326.70"
"Unknown 102","","1090.6","174","","","","","","","","1504.2","59.362"
"Unknown 103","","1093.4","205","","","","","","","","1506.9","251.23"
"Unknown 104","","1095","84","","","","","","","","1508.5","1460.6"
"Unknown 105","","1100.2","232","","","","","","","","1513.5","300.87"
"Unknown 106","","1100.8","177","","","","","","","","1514.1","603.12"
"Unknown 107","","1101.6","205","","","","","","","","1514.8","74.145"
"Unknown 108","","1104.8","128","","","","","","","","1517.9","789.98"
"Unknown 109","","1105.4","157","","","","","","","","1518.5","24020"
"Unknown 11","","389.4","71","","","","","","","","1006.1","251.38"
"Unknown 110","","1107.2","232","","","","","","","","1520.2","1656.4"
"Unknown 111","","1123.4","186","","","","","","","","1535.8","134.10"
"Unknown 112","","1125.8","97","","","","","","","","1538.1","74.079"
"Unknown 113","","1127.6","155","","","","","","","","1539.8","497.21"
"Unknown 114","","1129.2","174","","","","","","","","1541.4","184.71"
"Unknown 115","","1132","134","","","","","","","","1544.1","141.01"
"Unknown 116","","1133.6","174","","","","","","","","1545.6","529.43"
"Unknown 117","","1135.2","218","","","","","","","","1547.2","435.53"
"Unknown 118","","1139.2","292","","","","","","","","1551.0","44.418"
