"Name","Quantification","R.T. (s)","UniqueMass","IntegrationBegin","IntegrationEnd","Match","Quant Masses","Quant S/N","Area","BaselineModified","Retention Index","S/N"
"#Citrate_275_heavy","#Citrate_273_light","1398.2","273","1394.8,4645","1404.6,5397","920","273","2274.0","6030871","","1816.0","2274.7"
"#Citrate_275_heavy","#Citrate_275_heavy","1398.2","273","1395.2,4795","1403.6,5146","925","275","301.26","884467","","1816.0","2274.7"
"#Fumarate_247_heavy","#Fumarate_245_light","902.6","245","899.8,4434","907.6,5344","927","245","935.10","2910953","","1364.4","935.98"
"#Fumarate_247_heavy","#Fumarate_247_heavy","902.6","245","899.8,4726","907,4815","885","247","70.513","219739","","1364.4","935.98"
"#Malate_245_light","#Malate_245_light","1068.2","233","1065.2,5029","1072.4,5810","971","245","721.51","2241343","","1486.7","907.93"
"#Malate_245_light","#Malate_247_heavy","1068.2","233","1065.6,4485","1072,4650","982","247","81.259","271701","","1486.7","907.93"
"#Sorbitol_323","#Sorbitol_319","1490.8","319","1487.2,34901","1497,20427","908","319","1151.2","3036769","","1927.4","1233.4"
"#Sorbitol_323","#Sorbitol_323","1490.8","319","1490.6,1476021","1491.2,1442852","908","323","52.800","35019","","1927.4","1233.4"
"#Succinate_247_light","#Succinate_247_light","853","173","850.2,5109","857.6,4939","923","247","73.822","234898","","1327.8","16.930"
"#Succinate_249_heavy/20190831_TO_MG_HeLa_Labeltest_Agilent","#Succinate_249_heavy","","","","","500","249","","","","",""
"Unknown 1","","350.4","79","","","","","","","","980.12","50.537"
"Unknown 10","","393.6","127","","","","","","","","1008.9","41.079"
"Unknown 100","","1085.6","71","","","","","","","","1499.6","2573.2"
"Unknown 101","","1086.2","84","","","","","","","","1500.0","766.51"
"Unknown 102","","1090.2","159","","","","","","","","1503.8","291.16"
"Unknown 103","","1091","113","","","","","","","","1504.6","115.69"
"Unknown 104","","1091.2","174","","","","","","","","1504.8","72.590"
"Unknown 105","","1093","205","","","","","","","","1506.5","231.38"
"Unknown 106","","1094.2","202","","","","","","","","1507.7","15.190"
"Unknown 107","","1097.4","195","","","","","","","","1510.8","64.153"
"Unknown 108","","1100","232","","","","","","","","1513.3","87.977"
"Unknown 109","","1100.8","176","","","","","","","","1514.1","1967.6"
"Unknown 11","","432","152","","","","","","","","1034.6","345.80"
"Unknown 110","","1101.6","217","","","","","","","","1514.8","223.60"
"Unknown 111","","1105.2","157","","","","","","","","1518.3","17624"
"Unknown 112","","1106.2","187","","","","","","","","1519.2","81.204"
"Unknown 113","","1107.2","232","","","","","","","","1520.2","4681.5"
"Unknown 114","","1111.8","140","","","","","","","","1524.6","766.38"
"Unknown 115","","1117.2","169","","","","","","","","1529.8","85.550"
"Unknown 116","","1125.8","173","","","","","","","","1538.1","97.595"
"Unknown 117","","1131.8","134","","","","","","","","1543.9","277.35"
"Unknown 118","","1132.8","174","","","","","","","","1544.9","273.74"
"Unknown 119","","1139.6","205","","","","","","","","1551.4","1214.3"
"Unknown 12","","453","174","","","","","","","","1048.6","240.17"
