"Name"	"RI_new_mean"	"RI_set"
"Pyruvic acid_(1MEOX)(1TMS)_MP_RI:1045_IDENT:A+D"	1054	1054.13914110313
"Lactic acid_(2TMS)_MP_RI:1055_IDENT:B+C"	1066	1065.85607019185
"Valine_(1TMS)_BP_RI:1084_IDENT:B+D"	1087	1087.42194800186
"Alanine_(2TMS)_BP_RI:1097_IDENT:B+C"	1107	1107.32828425099
"Glycine_(2TMS)_BP_RI:1117_IDENT:A+C"	1124	1124.32610101479
"Leucine_(1TMS)_BP_RI:1153_IDENT:B+C"	1158	1158.06769187385
"Butanoic acid_ 3-hydroxy-_(2TMS)_MP_RI:1156_IDENT:A+B"	1168	1167.53203724294
"Proline_(1TMS)_BP_RI:1172_IDENT:A+B"	1176	1175.68184704544
"Isoleucine_(1TMS)_BP_RI:1174_IDENT:A+D"	1179	1179.43490196129
"Butanoic acid_ 2-amino-_(2TMS)_MP_RI:1168_IDENT:C+D"	1181	1180.81470925542
"Alanine_ beta-_(2TMS)_BP_RI:1188_IDENT:A+D"	1198	1197.56894395513
"Isobutanoic acid_ 3-amino-_(2TMS)_BP_RI:1207_IDENT:B+C"	1220	1220.144928
"Valine_(2TMS)_MP_RI:1212_IDENT:B+D"	1230	1229.94200096665
"Urea_(2TMS)_MP_RI:1249_IDENT:A+C"	1253	1252.98386804906
"Serine_(2TMS)_BP_RI:1260_IDENT:C+D"	1276	1275.59795746883
"Leucine_(2TMS)_MP_RI:1277_IDENT:B+C"	1295	1295.31286563823
"Glycerol_(3TMS)_MP_RI:1280_IDENT:C+D"	1303	1303.06837988932
"Pyruvic acid_ 3-hydroxy-_(1MEOX)(2TMS)_BP_RI:1294_IDENT:B+D"	1315	1314.54809086515
"Threonine_(2TMS)_BP_RI:1303_IDENT:C+D"	1318	1317.637099558
"Proline_(2TMS)_MP_RI:1305_IDENT:A+B"	1319	1318.60802319961
"Isoleucine_(2TMS)_MP_RI:1302_IDENT:A+D"	1320	1318.75302078299
"Maleic acid_(2TMS)_MP_RI:1315_IDENT:B+C"	1327	1327.20462880933
"Glycine_(3TMS)_MP_RI:1314_IDENT:A+C"	1330	1330.46630401812
"Succinic acid_(2TMS)_MP_RI:1327_IDENT:A+D"	1336	1336.08023199613
"Glyceric acid_(3TMS)_MP_RI:1342_IDENT:A+B"	1362	1362.25229579507
"Uracil_(2TMS)_MP_RI:1350_IDENT:A+C"	1363	1363.22780714766
"Pyruvic acid_ 3-hydroxy-_(1MEOX)(2TMS)_MP_RI:1348_IDENT:B+D"	1365	1365.22474625423
"Fumaric acid_(2TMS)_MP_RI:1366_IDENT:A+C"	1369	1369.31626969019
"Alanine_(3TMS)_MP_RI:1367_IDENT:B+C"	1383	1383.16017690044
"Serine_(3TMS)_MP_RI:1373_IDENT:C+D"	1391	1390.77072885984
"Threonine_(3TMS)_MP_RI:1397_IDENT:C+D"	1417	1416.64652828009
"Glutaric acid_(2TMS)_MP_RI:1418_IDENT:A+B"	1424	1423.94876752054
"Thymine_(2TMS)_MP_RI:1410_IDENT:B+D"	1425	1424.31126147898
"Methionine_(1TMS)_BP_RI:1422_IDENT:C+D"	1426	1424.61946882286
"Aspartic acid_(2TMS)_BP_RI:1433_IDENT:A+C"	1442	1441.58008845022
"Alanine_ beta-_(3TMS)_MP_RI:1435_IDENT:A+D"	1447	1446.7133881102
"Isobutanoic acid_ 3-amino-_(3TMS)_MP_RI:1460_IDENT:B+C"	1475	1474.55905316312
"Putrescine_(3TMS)_BP_RI:1507_IDENT:A+D"	1507	1506.70113109315
"Malic acid_(3TMS)_MP_RI:1487_IDENT:B+D"	1508	1506.89325193862
"Methionine_(2TMS)_MP_RI:1516_IDENT:C+D"	1532	1532.2796934636
"Pyroglutamic acid_(2TMS)_MP_RI:1518_IDENT:A+D"	1534	1534.37047425251
"Cytosine_(2TMS)_MP_RI:1520_IDENT:A+B"	1537	1536.84210526316
"Erythritol_(4TMS)_MP_RI:1503_IDENT:A+B"	1538	1537.41626794258
"Aspartic acid_(3TMS)_MP_RI:1517_IDENT:A+C"	1540	1540.40193211962
"Glutamic acid_(2TMS)_BP_RI:1533_IDENT:A+B"	1543	1543.25358851675
"Butanoic acid_ 4-amino-_(3TMS)_MP_RI:1527_IDENT:A+C"	1544	1544.2316084378
"Phenylalanine_(1TMS)_BP_RI:1547_IDENT:B+C"	1554	1553.51839637321
"Creatinine_(3TMS)_MP_RI:1549_IDENT:B+C"	1573	1572.57053286364
"Cysteine_(3TMS)_MP_RI:1554_IDENT:B+D"	1574	1574.19815212011
"Glutaric acid_ 2-oxo-_(1MEOX)(2TMS)_MP_RI:1579_IDENT:B+C"	1596	1595.93108923206
"Glutaric acid_ 2-hydroxy-_(3TMS)_MP_RI:1577_IDENT:A+D"	1597	1595.93108947918
"Proline [+CO2]_(2TMS)_BP_RI:1585_IDENT:A+B"	1598	1597.03349282297
"Ribose_ 2-deoxy-_(1MEOX)(3TMS)_BP_RI:1572_IDENT:A+D"	1600	1599.76067388953
"Ribose_ 2-deoxy-_(1MEOX)(3TMS)_MP_RI:1574_IDENT:A+D"	1601	1601.38820143357
"Asparagine_(2TMS)_BP_RI:1599_IDENT:B+D"	1610	1609.71750169572
"Hypotaurine_(3TMS)_MP_RI:1597_IDENT:A+C"	1615	1615.2703992823
"Phosphoenolpyruvic acid_(3TMS)_MP_RI:1598_IDENT:A+D"	1624	1623.88705567471
"Glutamic acid_(3TMS)_MP_RI:1620_IDENT:A+B"	1639	1639.42583732057
"Phenylalanine_(2TMS)_MP_RI:1625_IDENT:B+C"	1642	1641.79031690909
"Cytosine_(3TMS)_BP_RI:1629_IDENT:A+B"	1647	1647.27272727273
"Xylose_(1MEOX)(4TMS)_BP_RI:1642_IDENT:A+C"	1681	1680.75638422966
"Asparagine_(3TMS)_MP_RI:1667_IDENT:B+D"	1689	1688.89420520999
"Xylose_(1MEOX)(4TMS)_MP_RI:1651_IDENT:A+C"	1690	1690.04308044498
"Ribose_(1MEOX)(4TMS)_MP_RI:1672_IDENT:B+D"	1696	1695.78754880933
"Putrescine_(4TMS)_MP_RI:1730_IDENT:A+D"	1754	1754.30463576159
"Arabitol_(5TMS)_MP_RI:1711_IDENT:C+D"	1756	1756.29139086424
"Ribitol_(5TMS)_MP_RI:1716_IDENT:A+B"	1761	1761.18168624151
"Ornithine_(3TMS)_MP_RI:1748_IDENT:B+D"	1768	1767.58698913322
"Aconitic acid_ cis-_(3TMS)_MP_RI:1747_IDENT:A+D"	1769	1768.10154525386
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_MP_RI:1739_IDENT:A+B"	1773	1773.44004976035
"Dihydroxyacetone phosphate_(1MEOX)(3TMS)_BP_RI:1751_IDENT:A+B"	1785	1785.2567902138
"Glutamine_(3TMS)_MP_RI:1770_IDENT:C+D"	1793	1793.377483
"Glycerol-3-phosphate_(4TMS)_MP_RI:1756_IDENT:B+C"	1794	1793.76032122928
"Glutamic acid_ N-acetyl-_(2TMS)_MP_RI:1781_IDENT:B+C"	1799	1799.28213366851
"Glyceric acid-3-phosphate_(4TMS)_MP_RI:1802_IDENT:B+D"	1840	1839.81230105009
"Ornithine_(4TMS)_MP_RI:1812_IDENT:B+D"	1841	1841.02703889356
"Arginine [-NH3]_(3TMS)_MP_RI:1819_IDENT:A+C"	1845	1845.25386306733
"Citric acid_(4TMS)_MP_RI:1814_IDENT:B+D"	1849	1849.42019440684
"Isocitric acid_(4TMS)_MP_RI:1817_IDENT:A+C"	1852	1851.65562906954
"Lysine_(3TMS)_BP_RI:1849_IDENT:A+C"	1867	1867.10816788521
"Fructose_(1MEOX)(5TMS)_MP_RI:1862_IDENT:B+C"	1914	1913.73569199376
"Fructose_(1MEOX)(5TMS)_BP_RI:1872_IDENT:B+C"	1927	1926.84703416961
"Mannose_(1MEOX)(5TMS)_MP_RI:1876_IDENT:A+D"	1931	1931.09375
"Glucose_(1MEOX)(5TMS)_MP_RI:1886_IDENT:B+D"	1946	1945.60126170656
"Erythrose-4-phosphate_(1MEOX)(4TMS)_BP_RI:1894_IDENT:A+D"	1947	1947.1875
"Galactose_(1MEOX)(5TMS)_MP_RI:1880_IDENT:A+C"	1948	1948.4375
"Lysine_(4TMS)_MP_RI:1915_IDENT:A+C"	1950	1949.8177355
"Erythrose-4-phosphate_(1MEOX)(4TMS)_MP_RI:1904_IDENT:A+D"	1958	1958.4375
"Glucose_(1MEOX)(5TMS)_BP_RI:1904_IDENT:B+D"	1966	1966.21553069719
"Sorbitol_(6TMS)_MP_RI:1926_IDENT:A+D"	1991	1990.625
"Galactitol_(6TMS)_MP_RI:1932_IDENT:B+C"	1996	1995.83766904735
"Galacturonic acid_(1MEOX)(5TMS)_MP_RI:1935_IDENT:B+D"	1999	1999.01095863684
"Glucuronic acid_(1MEOX)(5TMS)_MP_RI:1927_IDENT:A+C"	2006	2006.194719
"Galacturonic acid_(1MEOX)(5TMS)_BP_RI:1957_IDENT:B+D"	2019	2018.53196540062
"Pantothenic acid_(3TMS)_MP_RI:1993_IDENT:A+D"	2032	2031.5625
"Gluconic acid_(6TMS)_MP_RI:1996_IDENT:B+C"	2059	2059.209157064
"Galactosamine_ N-acetyl-_(1MEOX)(4TMS)_MP_RI:2099_IDENT:B+D"	2108	2107.59625390219
"Glucosamine_ N-acetyl-_(1MEOX)(4TMS)_BP_RI:2073_IDENT:A+C"	2127	2126.9130465
"Glucosamine_ N-acetyl-_(1MEOX)(4TMS)_MP_RI:2079_IDENT:A+C"	2132	2132.3790325
"Inositol_ myo-_(6TMS)_MP_RI:2088_IDENT:C+D"	2140	2140.1874675
"Ribulose-5-phosphate_(1MEOX)(5TMS)_BP_RI:2096_IDENT:A+B"	2156	2156.27276274714
"Ribose-5-phosphate_(1MEOX)(5TMS)_MP_RI:2103_IDENT:C+D"	2161	2160.957824
"Ribulose-5-phosphate_(1MEOX)(5TMS)_MP_RI:2112_IDENT:A+B"	2171	2170.79653355879
"Spermidine_(4TMS)_BP_RI:2189_IDENT:A+C"	2220	2219.60629934252
"Tryptophan_(3TMS)_MP_RI:2209_IDENT:B+C"	2252	2252.440945
"Spermidine_(5TMS)_MP_RI:2246_IDENT:A+C"	2296	2295.90551181102
"Fructose-6-phosphate_(1MEOX)(6TMS)_MP_RI:2302_IDENT:A+C"	2385	2385.43307066929
"Glucose-1/6-phosphate_(1MEOX)(6TMS)_MP_RI:2316_IDENT:C+D/A+B"	2399	2399.37007874016
"Glucose-6-phosphate_(1MEOX)(6TMS)_BP_RI:2317_IDENT:A+B"	2420	2419.68503937008
"Uridine_(3TMS)_MP_RI:2469_IDENT:A+D"	2506	2506.14173228346
"Gluconic acid-6-phosphate_(7TMS)_MP_RI:2426_IDENT:A+D"	2513	2512.51968503937
"Adenosine_(4TMS)_MP_RI:2644_IDENT:A+B"	2687	2687.08661417323
"Sucrose_(8TMS)_MP_RI:2632_IDENT:A+C"	2718	2717.79527579528
"Lactose_(1MEOX)(8TMS)_MP_RI:2678_IDENT:B+D"	2739	2738.8188976378
"Lactose_(1MEOX)(8TMS)_BP_RI:2694_IDENT:B+D"	2768	2767.63779527559
"Maltose_(1MEOX)(8TMS)_MP_RI:2723_IDENT:C+D"	2783	2782.75590551969
"Fructose-1_6-diphosphate_(1MEOX)(7TMS)_MP_RI:2705_IDENT:B+C"	2791	2791.023622
"Trehalose_a-a-_(8TMS)_MP_RI:2729_IDENT:A+B"	2814	2813.84500407646
"Maltose_(1MEOX)(8TMS)_BP_RI:2749_IDENT:C+D"	2817	2817.15553951128
