TubeNo	MG treated	Glucose	labeling time	tecrep	phase
1	MG	12C	15	1	PP
2	MG	12C	15	2	PP
3	MG	12C	15	3	PP
4	MG	12C	15	4	PP
5	MG	12C	17	1	PP
6	MG	12C	17	2	PP
7	MG	12C	17	3	PP
8	MG	12C	17	4	PP
9	MG	13C	17	1	PP
10	MG	13C	17	2	PP
11	MG	13C	17	3	PP
12	MG	13C	17	4	PP
13	MG	12C	20	1	PP
14	MG	12C	20	2	PP
15	MG	12C	20	3	PP
16	MG	12C	20	4	PP
17	MG	13C	20	1	PP
18	MG	13C	20	2	PP
19	MG	13C	20	3	PP
20	MG	13C	20	4	PP
21	XX	12C	2	1	PP
22	XX	12C	2	2	PP
23	XX	12C	2	3	PP
24	XX	12C	2	4	PP
25	XX	13C	2	1	PP
26	XX	13C	2	2	PP
27	XX	13C	2	3	PP
28	XX	13C	2	4	PP
29	XX	12C	5	1	PP
30	XX	12C	5	2	PP
31	XX	12C	5	3	PP
32	XX	12C	5	4	PP
33	XX	13C	5	1	PP
34	XX	13C	5	2	PP
35	XX	13C	5	3	PP
36	XX	13C	5	4	PP
A	XX	12C	0	1	PP
B	XX	12C	0	2	PP
C	XX	12C	0	3	PP
D	XX	12C	0	4	PP
E	XX	12C	0	5	PP
F	XX	12C	0	6	PP
1	MG	12C	15	1	PP
2	MG	12C	15	2	PP
3	MG	12C	15	3	PP
4	MG	12C	15	4	PP
5	MG	12C	17	1	PP
6	MG	12C	17	2	PP
7	MG	12C	17	3	PP
8	MG	12C	17	4	PP
9	MG	13C	17	1	PP
10	MG	13C	17	2	PP
11	MG	13C	17	3	PP
12	MG	13C	17	4	PP
13	MG	12C	20	1	PP
14	MG	12C	20	2	PP
15	MG	12C	20	3	PP
16	MG	12C	20	4	PP
17	MG	13C	20	1	PP
18	MG	13C	20	2	PP
19	MG	13C	20	3	PP
20	MG	13C	20	4	PP
21	XX	12C	2	1	PP
22	XX	12C	2	2	PP
23	XX	12C	2	3	PP
24	XX	12C	2	4	PP
25	XX	13C	2	1	PP
26	XX	13C	2	2	PP
27	XX	13C	2	3	PP
28	XX	13C	2	4	PP
29	XX	12C	5	1	PP
30	XX	12C	5	2	PP
31	XX	12C	5	3	PP
32	XX	12C	5	4	PP
33	XX	13C	5	1	PP
34	XX	13C	5	2	PP
35	XX	13C	5	3	PP
36	XX	13C	5	4	PP
A	XX	12C	0	1	PP
B	XX	12C	0	2	PP
C	XX	12C	0	3	PP
D	XX	12C	0	4	PP
E	XX	12C	0	5	PP
F	XX	12C	0	6	PP
1	MG	12C	15	1	LP
2	MG	12C	15	2	LP
3	MG	12C	15	3	LP
4	MG	12C	15	4	LP
5	MG	12C	17	1	LP
6	MG	12C	17	2	LP
7	MG	12C	17	3	LP
8	MG	12C	17	4	LP
9	MG	13C	17	1	LP
10	MG	13C	17	2	LP
11	MG	13C	17	3	LP
12	MG	13C	17	4	LP
13	MG	12C	20	1	LP
14	MG	12C	20	2	LP
15	MG	12C	20	3	LP
16	MG	12C	20	4	LP
17	MG	13C	20	1	LP
18	MG	13C	20	2	LP
19	MG	13C	20	3	LP
20	MG	13C	20	4	LP
21	XX	12C	2	1	LP
22	XX	12C	2	2	LP
23	XX	12C	2	3	LP
24	XX	12C	2	4	LP
25	XX	13C	2	1	LP
26	XX	13C	2	2	LP
27	XX	13C	2	3	LP
28	XX	13C	2	4	LP
29	XX	12C	5	1	LP
30	XX	12C	5	2	LP
31	XX	12C	5	3	LP
32	XX	12C	5	4	LP
33	XX	13C	5	1	LP
34	XX	13C	5	2	LP
35	XX	13C	5	3	LP
36	XX	13C	5	4	LP
A	XX	12C	0	1	LP
B	XX	12C	0	2	LP
C	XX	12C	0	3	LP
D	XX	12C	0	4	LP
E	XX	12C	0	5	LP
F	XX	12C	0	6	LP
