TubeNo	MG treated	Glucose	labeling time	tecrep
1	MG	12C	15	1
2	MG	12C	15	2
3	MG	12C	15	3
4	MG	12C	15	4
5	MG	12C	17	1
6	MG	12C	17	2
7	MG	12C	17	3
8	MG	12C	17	4
9	MG	13C	17	1
10	MG	13C	17	2
11	MG	13C	17	3
12	MG	13C	17	4
13	MG	12C	20	1
14	MG	12C	20	2
15	MG	12C	20	3
16	MG	12C	20	4
17	MG	13C	20	1
18	MG	13C	20	2
19	MG	13C	20	3
20	MG	13C	20	4
21	XX	12C	2	1
22	XX	12C	2	2
23	XX	12C	2	3
24	XX	12C	2	4
25	XX	13C	2	1
26	XX	13C	2	2
27	XX	13C	2	3
28	XX	13C	2	4
29	XX	12C	5	1
30	XX	12C	5	2
31	XX	12C	5	3
32	XX	12C	5	4
33	XX	13C	5	1
34	XX	13C	5	2
35	XX	13C	5	3
36	XX	13C	5	4
A	XX	12C	0	1
B	XX	12C	0	2
C	XX	12C	0	3
D	XX	12C	0	4
E	XX	12C	0	5
F	XX	12C	0	6
